stt,category_code,category_name,disease_code,disease_name,icd_codes,max_prescription_days,circular_number,notes
61,MB,Metabolic and Endocrine,MB-16,Gestational Diabetes Mellitus (Diet Controlled),O24.4,30,MOPH-OBS-2020,Frequent prenatal monitoring required; max 30 days per visit
62,MB,Metabolic and Endocrine,MB-17,Gestational Diabetes Mellitus (Insulin Controlled),O24.4,30,MOPH-OBS-2020,Strict glycemic control and fetal wellbeing assessment monthly
63,MB,Metabolic and Endocrine,MB-18,Pure Hypercholesterolaemia,E78.0,90,NHSO-EDP-2016,Statin therapy maintenance; LDL-C target check every 6 months
64,MB,Metabolic and Endocrine,MB-19,Pure Hypertriglyceridaemia,E78.1,90,NHSO-EDP-2016,Fibrate therapy for prevention of pancreatitis in severe cases
65,MB,Metabolic and Endocrine,MB-20,Mixed Hyperlipidaemia,E78.2,90,NHSO-EDP-2016,Combined dyslipidemia management (LDL and TG elevation)
66,MB,Metabolic and Endocrine,MB-21,Hyperchylomicronaemia,E78.3,90,NHSO-EDP-2016,Long-term dietary and pharmacological management
67,MB,Metabolic and Endocrine,MB-22,Other Hyperlipidaemia,E78.4,90,NHSO-EDP-2016,Including Familial Combined Hyperlipidemia
68,MB,Metabolic and Endocrine,MB-23,Hyperlipidaemia Unspecified,E78.5,90,NHSO-EDP-2016,Standard lipid-lowering protocol for stable patients
69,MB,Metabolic and Endocrine,MB-24,Lipoprotein Deficiency,E78.6,90,NHSO-EDP-2016,Management of hypoalphalipoproteinemia or similar defects
70,MB,Metabolic and Endocrine,MB-25,Metabolic Syndrome (Insulin Resistance),E88.81,90,NHSO-EDP-2016,Management of cluster of risk factors (HT;DM;DLP)
71,MB,Metabolic and Endocrine,MB-26,Obesity due to Excess Calories,E66.0,60,MOPH-NCD-2021,Weight management pharmacotherapy alongside lifestyle intervention
72,MB,Metabolic and Endocrine,MB-27,Drug-Induced Obesity,E66.1,60,MOPH-NCD-2021,Secondary obesity related to chronic steroid or psychiatric meds
73,MB,Metabolic and Endocrine,MB-28,Morbid (Extreme) Obesity,E66.2;E66.8,60,MOPH-NCD-2021,High-risk obesity management including respiratory monitoring
74,MB,Metabolic and Endocrine,MB-29,Lipodystrophy Not Elsewhere Classified,E88.1,90,NHSO-EDP-2016,Chronic management of metabolic complications of lipodystrophy
75,MB,Metabolic and Endocrine,MB-30,Secondary Diabetes Mellitus (Drug-induced),E13.1;E13.2,90,NHSO-EDP-2016,Diabetes resulting from long-term glucocorticoid use
76,CV,Cardiovascular,CV-09,Hypertensive Heart Disease with Heart Failure,I11.0,90,NHSO-EDP-2016,Patient must be stable on medication for at least 3 months
77,CV,Cardiovascular,CV-10,Hypertensive Renal Disease with Chronic Kidney Disease,I12.0;I12.9,90,NHSO-EDP-2016,Prescription length depends on GFR stability
78,CV,Cardiovascular,CV-11,Chronic Ischaemic Heart Disease unspecified,I25.9,90,NHSO-EDP-2016,Includes stable coronary artery disease
79,CV,Cardiovascular,CV-12,Angina Pectoris unspecified,I20.9,90,NHSO-EDP-2016,Long-term nitrate or beta-blocker therapy
80,CV,Cardiovascular,CV-13,Old Myocardial Infarction,I25.2,90,NHSO-EDP-2016,Post-MI maintenance therapy after acute phase
81,CV,Cardiovascular,CV-14,Permanent Atrial Fibrillation,I48.2,90,NHSO-EDP-2016,Requires continuous rate control and anticoagulation monitoring
82,CV,Cardiovascular,CV-15,Congestive Heart Failure,I50.0,90,NHSO-EDP-2016,Stable NYHA Class I-II may receive 90-day supply
83,CV,Cardiovascular,CV-16,Left Ventricular Failure,I50.1,90,NHSO-EDP-2016,Maintenance therapy for HFrEF or HFpEF
84,CV,Cardiovascular,CV-17,Systolic Heart Failure,I50.2;I50.20;I50.22;I50.23,90,NHSO-EDP-2016,Long-term ACEI/ARB and Beta-blocker management
85,CV,Cardiovascular,CV-18,Diastolic Heart Failure,I50.3;I50.30;I50.32;I50.33,90,NHSO-EDP-2016,Management of heart failure with preserved ejection fraction
86,CV,Cardiovascular,CV-19,Combined Systolic and Diastolic Heart Failure,I50.4;I50.40;I50.42;I50.43,90,NHSO-EDP-2016,Requires frequent clinical assessment even with 90-day supply
87,CV,Cardiovascular,CV-20,Atherosclerotic Heart Disease of Native Coronary Artery,I25.1;I25.10;I25.11,90,NHSO-EDP-2016,Antiplatelet and statin therapy
88,CV,Cardiovascular,CV-21,Paroxysmal Atrial Fibrillation,I48.0,90,NHSO-EDP-2016,Rhythm or rate control maintenance
89,CV,Cardiovascular,CV-22,Persistent Atrial Fibrillation,I48.1;I48.11;I48.19,90,NHSO-EDP-2016,Requires long-term anticoagulation
90,CV,Cardiovascular,CV-23,Aneurysm of Heart,I25.3,90,NHSO-EDP-2016,Stable post-infarct cardiac aneurysm management
91,CV,Cardiovascular,CV-24,Ischaemic Cardiomyopathy,I25.5,90,NHSO-EDP-2016,Chronic management of heart failure due to CAD
92,CV,Cardiovascular,CV-25,Aneurysm of Coronary Artery,I25.4;I25.41;I25.42,90,NHSO-EDP-2016,Monitoring for thrombosis or rupture risk
93,CV,Cardiovascular,CV-26,Silent Myocardial Ischaemia,I25.6,90,NHSO-EDP-2016,Preventive therapy for patients with documented ischaemia without symptoms
94,CV,Cardiovascular,CV-27,Hypertensive Heart and Renal Disease with Heart Failure,I13.0,90,NHSO-EDP-2016,Dual organ management; requires stable renal function
95,CV,Cardiovascular,CV-28,Renovascular Hypertension,I15.0,60,NHSO-EDP-2016,Shorter duration recommended due to potential renal function changes
96,CV,Cardiovascular,CV-29,Hypertension Secondary to Endocrine Disorders,I15.2,60,NHSO-EDP-2016,Monitoring of underlying endocrine condition required
97,CV,Cardiovascular,CV-30,Atrial Flutter,I48.3;I48.4,90,NHSO-EDP-2016,Stable flutter with rate control
98,CV,Cardiovascular,CV-31,Angina Pectoris with documented Spasm,I20.1,90,NHSO-EDP-2016,Prinzmetal or variant angina management
99,CV,Cardiovascular,CV-32,Other forms of Chronic Ischaemic Heart Disease,I25.8,90,NHSO-EDP-2016,Stable chronic CAD variants
100,CV,Cardiovascular,CV-33,Dilated Cardiomyopathy,I42.0,90,NHSO-EDP-2016,Chronic heart failure regimen for non-ischaemic cardiomyopathy
101,CV,Cardiovascular,CV-34,Obstructive Hypertrophic Cardiomyopathy,I42.1,90,NHSO-EDP-2016,Beta-blocker or Calcium channel blocker maintenance
102,CV,Cardiovascular,CV-35,Nonobstructive Hypertrophic Cardiomyopathy,I42.2,90,NHSO-EDP-2016,Monitoring for arrhythmia risk required
103,CV,Cardiovascular,CV-36,Other Chronic Pulmonary Heart Disease,I27.8;I27.9,60,NHSO-EDP-2016,Cor pulmonale management; oxygen therapy not included in days count
104,CV,Cardiovascular,CV-37,Other Secondary Hypertension,I15.8;I15.9,90,NHSO-EDP-2016,Secondary causes under control
105,CV,Cardiovascular,CV-38,Mitral Valve Stenosis non-rheumatic,I34.2,90,NHSO-EDP-2016,Monitoring for atrial fibrillation development
