brand_name,generic_name,manufacturer,source
Solu-Cortef,Hydrocortisone sodium succinate,Pfizer,TMT-NHSO
Fludrocortisone,Fludrocortisone acetate,,TMT-NHSO
Ventolin,Salbutamol sulfate,GSK,TMT-NHSO
Bricanyl,Terbutaline sulfate,AstraZeneca,TMT-NHSO
Berodual,Ipratropium bromide + Fenoterol hydrobromide,Boehringer Ingelheim,TMT-NHSO
Atrovent,Ipratropium bromide,Boehringer Ingelheim,TMT-NHSO
Spiriva,Tiotropium bromide,Boehringer Ingelheim,TMT-NHSO
Seretide,Fluticasone propionate + Salmeterol xinafoate,GSK,TMT-NHSO
Symbicort,Budesonide + Formoterol fumarate,AstraZeneca,TMT-NHSO
Pulmicort,Budesonide,AstraZeneca,TMT-NHSO
Flixotide,Fluticasone propionate,GSK,TMT-NHSO
Alvesco,Ciclesonide,,TMT-NHSO
Singulair,Montelukast sodium,MSD,TMT-NHSO
Montelukast,Montelukast sodium,,TMT-NHSO
Theophylline,Theophylline,,TMT-NHSO
Phyllocontin,Aminophylline,,TMT-NHSO
Mucosolvan,Ambroxol hydrochloride,Boehringer Ingelheim,TMT-NHSO
Bisolvon,Bromhexine hydrochloride,Boehringer Ingelheim,TMT-NHSO
NAC,Acetylcysteine,,TMT-NHSO
Fluimucil,Acetylcysteine,,TMT-NHSO
Dextromethorphan,Dextromethorphan hydrobromide,,TMT-NHSO
Motilium,Domperidone,Johnson & Johnson,TMT-NHSO
Domperidone,Domperidone,,TMT-NHSO
Maxolon,Metoclopramide hydrochloride,,TMT-NHSO
Plasil,Metoclopramide hydrochloride,,TMT-NHSO
Primperan,Metoclopramide hydrochloride,Sanofi,TMT-NHSO
Zofran,Ondansetron hydrochloride,GSK,TMT-NHSO
Ondansetron,Ondansetron hydrochloride,,TMT-NHSO
Kytril,Granisetron hydrochloride,Roche,TMT-NHSO
Emend,Aprepitant,MSD,TMT-NHSO
Ranitidine,Ranitidine hydrochloride,,TMT-NHSO
Zantac,Ranitidine hydrochloride,GSK,TMT-NHSO
Famotidine,Famotidine,,TMT-NHSO
Pepcid,Famotidine,,TMT-NHSO
Sucralfate,Sucralfate,,TMT-NHSO
Ulsanic,Sucralfate,,TMT-NHSO
Buscopan,Hyoscine butylbromide,Boehringer Ingelheim,TMT-NHSO
Hyoscine,Hyoscine butylbromide,,TMT-NHSO
Duspatalin,Mebeverine hydrochloride,Abbott,TMT-NHSO
Mebeverine,Mebeverine hydrochloride,,TMT-NHSO
Colpermin,Peppermint oil,,TMT-NHSO
Imodium,Loperamide hydrochloride,Johnson & Johnson,TMT-NHSO
Loperamide,Loperamide hydrochloride,,TMT-NHSO
Smecta,Diosmectite,Ipsen,TMT-NHSO
Ursodiol,Ursodeoxycholic acid,,TMT-NHSO
Ursofalk,Ursodeoxycholic acid,,TMT-NHSO
ORS,Oral rehydration salts,,TMT-NHSO
Lactulose,Lactulose,,TMT-NHSO
Duphalac,Lactulose,Abbott,TMT-NHSO
Dulcolax,Bisacodyl,Boehringer Ingelheim,TMT-NHSO
Senokot,Senna,,TMT-NHSO
MOM,Magnesium hydroxide,,TMT-NHSO
Colchicine,Colchicine,,TMT-NHSO
Allopurinol,Allopurinol,,TMT-NHSO
Zyloric,Allopurinol,GSK,TMT-NHSO
Febuxostat,Febuxostat,,TMT-NHSO
Feburic,Febuxostat,,TMT-NHSO
Uloric,Febuxostat,,TMT-NHSO
Probenecid,Probenecid,,TMT-NHSO
MTX,Methotrexate,,TMT-NHSO
Methotrexate,Methotrexate,,TMT-NHSO
Plaquenil,Hydroxychloroquine sulfate,Sanofi,TMT-NHSO
Hydroxychloroquine,Hydroxychloroquine sulfate,,TMT-NHSO
Sulfasalazine,Sulfasalazine,,TMT-NHSO
Salazopyrin,Sulfasalazine,Pfizer,TMT-NHSO
Leflunomide,Leflunomide,,TMT-NHSO
Arava,Leflunomide,Sanofi,TMT-NHSO
Azathioprine,Azathioprine,,TMT-NHSO
Imuran,Azathioprine,GSK,TMT-NHSO
Mycophenolate,Mycophenolate mofetil,,TMT-NHSO
CellCept,Mycophenolate mofetil,Roche,TMT-NHSO
Cyclosporine,Cyclosporine,,TMT-NHSO
Neoral,Cyclosporine,Novartis,TMT-NHSO
Sandimmun,Cyclosporine,Novartis,TMT-NHSO
Tacrolimus,Tacrolimus,,TMT-NHSO
Prograf,Tacrolimus,Astellas,TMT-NHSO
Advagraf,Tacrolimus,Astellas,TMT-NHSO
Zyprexa,Olanzapine,Eli Lilly,TMT-NHSO
Risperdal,Risperidone,Johnson & Johnson,TMT-NHSO
Seroquel,Quetiapine fumarate,AstraZeneca,TMT-NHSO
Abilify,Aripiprazole,Otsuka,TMT-NHSO
Clozaril,Clozapine,Novartis,TMT-NHSO
Solian,Amisulpride,Sanofi,TMT-NHSO
Haldol,Haloperidol,,TMT-NHSO
Haloperidol,Haloperidol,,TMT-NHSO
Chlorpromazine,Chlorpromazine hydrochloride,,TMT-NHSO
Largactil,Chlorpromazine hydrochloride,,TMT-NHSO
Prozac,Fluoxetine hydrochloride,Eli Lilly,TMT-NHSO
Fluoxetine,Fluoxetine hydrochloride,,TMT-NHSO
Zoloft,Sertraline hydrochloride,Pfizer,TMT-NHSO
Sertraline,Sertraline hydrochloride,,TMT-NHSO
Lexapro,Escitalopram oxalate,,TMT-NHSO
Cipralex,Escitalopram oxalate,Lundbeck,TMT-NHSO
Paxil,Paroxetine hydrochloride,,TMT-NHSO
Seroxat,Paroxetine hydrochloride,GSK,TMT-NHSO
Cymbalta,Duloxetine hydrochloride,Eli Lilly,TMT-NHSO
Effexor,Venlafaxine hydrochloride,,TMT-NHSO
Tryptanol,Amitriptyline hydrochloride,,TMT-NHSO
Amitriptyline,Amitriptyline hydrochloride,,TMT-NHSO
Tofranil,Imipramine hydrochloride,,TMT-NHSO
Nortriptyline,Nortriptyline hydrochloride,,TMT-NHSO
Mirtazapine,Mirtazapine,,TMT-NHSO
Remeron,Mirtazapine,MSD,TMT-NHSO
Bupropion,Bupropion hydrochloride,,TMT-NHSO
Wellbutrin,Bupropion hydrochloride,,TMT-NHSO
Valium,Diazepam,Roche,TMT-NHSO
Diazepam,Diazepam,,TMT-NHSO
Xanax,Alprazolam,Pfizer,TMT-NHSO
Alprazolam,Alprazolam,,TMT-NHSO
Ativan,Lorazepam,,TMT-NHSO
Lorazepam,Lorazepam,,TMT-NHSO
Rivotril,Clonazepam,Roche,TMT-NHSO
Clonazepam,Clonazepam,,TMT-NHSO
Stilnox,Zolpidem tartrate,Sanofi,TMT-NHSO
Zolpidem,Zolpidem tartrate,,TMT-NHSO
Dilantin,Phenytoin sodium,,TMT-NHSO
Phenytoin,Phenytoin sodium,,TMT-NHSO
Tegretol,Carbamazepine,Novartis,TMT-NHSO
Carbamazepine,Carbamazepine,,TMT-NHSO
Depakene,Valproic acid,Abbott,TMT-NHSO
Depakote,Divalproex sodium,Abbott,TMT-NHSO
Valproic acid,Valproic acid,,TMT-NHSO
Epilim,Sodium valproate,Sanofi,TMT-NHSO
Keppra,Levetiracetam,UCB,TMT-NHSO
Levetiracetam,Levetiracetam,,TMT-NHSO
Lamictal,Lamotrigine,GSK,TMT-NHSO
Topamax,Topiramate,Johnson & Johnson,TMT-NHSO
Neurontin,Gabapentin,Pfizer,TMT-NHSO
Gabapentin,Gabapentin,,TMT-NHSO
Lyrica,Pregabalin,Pfizer,TMT-NHSO
Pregabalin,Pregabalin,,TMT-NHSO
Sinemet,Levodopa + Carbidopa,MSD,TMT-NHSO
Madopar,Levodopa + Benserazide,Roche,TMT-NHSO
Requip,Ropinirole,,TMT-NHSO
Stalevo,Levodopa + Carbidopa + Entacapone,,TMT-NHSO
Trihexyphenidyl,Trihexyphenidyl hydrochloride,,TMT-NHSO
Artane,Trihexyphenidyl hydrochloride,,TMT-NHSO
Cetirizine,Cetirizine hydrochloride,,TMT-NHSO
Zyrtec,Cetirizine hydrochloride,UCB,TMT-NHSO
Loratadine,Loratadine,,TMT-NHSO
Clarityne,Loratadine,Bayer,TMT-NHSO
Claritin,Loratadine,,TMT-NHSO
Fexofenadine,Fexofenadine hydrochloride,,TMT-NHSO
Telfast,Fexofenadine hydrochloride,Sanofi,TMT-NHSO
Allegra,Fexofenadine hydrochloride,,TMT-NHSO
Desloratadine,Desloratadine,,TMT-NHSO
Aerius,Desloratadine,MSD,TMT-NHSO
Levocetirizine,Levocetirizine dihydrochloride,,TMT-NHSO
Xyzal,Levocetirizine dihydrochloride,UCB,TMT-NHSO
CPM,Chlorpheniramine maleate,,TMT-NHSO
Chlorpheniramine,Chlorpheniramine maleate,,TMT-NHSO
Hydroxyzine,Hydroxyzine hydrochloride,,TMT-NHSO
Atarax,Hydroxyzine hydrochloride,UCB,TMT-NHSO
Diphenhydramine,Diphenhydramine hydrochloride,,TMT-NHSO
Benadryl,Diphenhydramine hydrochloride,,TMT-NHSO
Oxytocin,Oxytocin,,TMT-NHSO
Syntocinon,Oxytocin,Novartis,TMT-NHSO
Cytotec,Misoprostol,Pfizer,TMT-NHSO
Misoprostol,Misoprostol,,TMT-NHSO
Ergometrine,Ergometrine maleate,,TMT-NHSO
Methergine,Methylergonovine maleate,,TMT-NHSO
Nifedipine,Nifedipine,,TMT-NHSO
Magnesium sulfate,Magnesium sulfate,,TMT-NHSO
Betamethasone,Betamethasone,,TMT-NHSO
Celestone,Betamethasone,MSD,TMT-NHSO
EpiPen,Epinephrine,,TMT-NHSO
Adrenaline,Epinephrine,,TMT-NHSO
Epinephrine,Epinephrine,,TMT-NHSO
Norepinephrine,Norepinephrine bitartrate,,TMT-NHSO
Levophed,Norepinephrine bitartrate,Pfizer,TMT-NHSO
Dopamine,Dopamine hydrochloride,,TMT-NHSO
Dobutamine,Dobutamine hydrochloride,,TMT-NHSO
Dobutrex,Dobutamine hydrochloride,,TMT-NHSO
Vasopressin,Vasopressin,,TMT-NHSO
Atropine,Atropine sulfate,,TMT-NHSO
Neostigmine,Neostigmine methylsulfate,,TMT-NHSO
Glycopyrrolate,Glycopyrronium bromide,,TMT-NHSO
Calcium gluconate,Calcium gluconate,,TMT-NHSO
Calcium carbonate,Calcium carbonate,,TMT-NHSO
Cal-D-Vita,Calcium carbonate + Cholecalciferol,,TMT-NHSO
Oscal,Calcium carbonate,,TMT-NHSO
Caltrate,Calcium carbonate,,TMT-NHSO
Bonviva,Ibandronic acid,Roche,TMT-NHSO
Fosamax,Alendronate sodium,MSD,TMT-NHSO
Alendronate,Alendronate sodium,,TMT-NHSO
Actonel,Risedronate sodium,,TMT-NHSO
Prolia,Denosumab,Amgen,TMT-NHSO
Ferrous sulfate,Ferrous sulfate,,TMT-NHSO
Ferrous fumarate,Ferrous fumarate,,TMT-NHSO
Venofer,Iron sucrose,,TMT-NHSO
Ferinject,Ferric carboxymaltose,,TMT-NHSO
EPO,Erythropoietin,,TMT-NHSO
Eprex,Epoetin alfa,Johnson & Johnson,TMT-NHSO
NeoRecormon,Epoetin beta,Roche,TMT-NHSO
Aranesp,Darbepoetin alfa,Amgen,TMT-NHSO
Mircera,Methoxy polyethylene glycol-epoetin beta,Roche,TMT-NHSO
Potassium chloride,Potassium chloride,,TMT-NHSO
KCl elixir,Potassium chloride,,TMT-NHSO
Sodium bicarbonate,Sodium bicarbonate,,TMT-NHSO
Sevelamer,Sevelamer carbonate,,TMT-NHSO
Renagel,Sevelamer hydrochloride,,TMT-NHSO
Renvela,Sevelamer carbonate,,TMT-NHSO
Lanthanum,Lanthanum carbonate,,TMT-NHSO
Fosrenol,Lanthanum carbonate,,TMT-NHSO
Calcitriol,Calcitriol,,TMT-NHSO
Rocaltrol,Calcitriol,Roche,TMT-NHSO
Alfacalcidol,Alfacalcidol,,TMT-NHSO
One-Alpha,Alfacalcidol,,TMT-NHSO
Vitamin K1,Phytomenadione,,TMT-NHSO
Konakion,Phytomenadione,Roche,TMT-NHSO
Vitamin B1,Thiamine hydrochloride,,TMT-NHSO
Vitamin B6,Pyridoxine hydrochloride,,TMT-NHSO
Vitamin B12,Cyanocobalamin,,TMT-NHSO
Folic acid,Folic acid,,TMT-NHSO
Vitamin C,Ascorbic acid,,TMT-NHSO
Vitamin D,Cholecalciferol,,TMT-NHSO
NSS,Sodium chloride 0.9%,,TMT-NHSO
Normal saline,Sodium chloride 0.9%,,TMT-NHSO
D5W,Dextrose 5% in water,,TMT-NHSO
D5NSS,Dextrose 5% in normal saline,,TMT-NHSO
D5NS,Dextrose 5% in normal saline,,TMT-NHSO
Ringer Lactate,Ringer's lactate solution,,TMT-NHSO
LRS,Ringer's lactate solution,,TMT-NHSO
Acetated Ringer,Acetated Ringer's solution,,TMT-NHSO
Pseudoephedrine,Pseudoephedrine hydrochloride,,TMT-NHSO
Sudafed,Pseudoephedrine hydrochloride,,TMT-NHSO
Otrivin,Xylometazoline hydrochloride,Novartis,TMT-NHSO
Naphazoline,Naphazoline hydrochloride,,TMT-NHSO
Flonase,Fluticasone propionate nasal,GSK,TMT-NHSO
Avamys,Fluticasone furoate nasal,GSK,TMT-NHSO
Nasonex,Mometasone furoate nasal,MSD,TMT-NHSO
Rhinocort,Budesonide nasal,AstraZeneca,TMT-NHSO
Tobramycin eye drops,Tobramycin,,TMT-NHSO
Tobrex,Tobramycin,Novartis,TMT-NHSO
Chloramphenicol eye drops,Chloramphenicol,,TMT-NHSO
Maxitrol,Neomycin + Polymyxin B + Dexamethasone,Novartis,TMT-NHSO
