expected_class,drug_category_patterns,notes
baclofen,,centrally acting
benzodiazepines,,diazepam/lorazepam/midazolam
benzodiazepine_receptor_agonists,,zolpidem/zopiclone
benzoyl_peroxide,,
beta_agonists,,
beta_blockers,,matches single and combination
biologics,,biologic DMARDs or immunotherapy
bisphosphonates,,alendronate/zoledronic acid
bismuth_subsalicylate,,GI protectant
broad_spectrum_antibiotics,,
bronchodilators,,salbutamol/ipratropium
buspirone,,anxiolytic
caffeine_citrate,,neonatal apnea
calcium_and_vitamin_D,,bone health supplements
calcium_gluconate,,electrolyte/antidote
carbamazepine,,
cephalosporins,,
chemotherapy,,
chloramphenicol,,
chloroquine,,
cilostazol,,phosphodiesterase III inhibitor
cinacalcet,,calcimimetic (no exact category)
codeine,,dual use
colony_stimulating_factors,,G-CSF/GM-CSF (closest match)
corticosteroid_injection,,local injection
corticosteroids,,
cotrimoxazole_prophylaxis,,TMP-SMX
cough_suppressants,,dextromethorphan
cyclosporine,,
danazol,,
decongestants,,pseudoephedrine/oxymetazoline
depot_antipsychotics,,long-acting injectable
dexamethasone,,
disease_modifying_therapies,,MS-specific DMTs
diuretics,,
domperidone_high_dose,,prokinetic
dopamine_agonists,,pramipexole/ropinirole
dual_antiplatelet_beyond_12_months,,extended DAPT (red flag)
dual_antiplatelet_long_term,,prolonged DAPT (red flag)
dual_antiplatelet_without_indication,,unnecessary DAPT (red flag)
echinocandins,,caspofungin/micafungin
electrolyte_replacement,,
emollients,,moisturizers
empiric_antibiotics,,
epinephrine,,adrenaline
erythropoietin,,
estrogen,,
ethambutol,,
expectorants,,
ezetimibe,,
fat_soluble_vitamins,,vitamin D etc. (closest match)
fibrates,,
fingolimod_without_cardiac_monitoring_first_dose,,MS DMT (red flag)
flavonoids,,diosmin/hesperidin
fluoroquinolones,,
folic_acid,,hematologic supplement (no exact match)
gabapentin,,
glucocorticoids,,
glucosamine,,symptomatic slow-acting drug
hepatoprotectives,,silymarin etc. (no exact match)
high_dose_statins_without_monitoring,,red flag
hormonal_therapy,,cancer or HRT
hydroxyurea,,
hydroxychloroquine,,dual classification
hydroxyzine,,
ibuprofen,,
immunomodulators,,
immunosuppressants,,
immunotherapy,,checkpoint inhibitors
inhaled_bronchodilators,,
inhaled_corticosteroids,,ICS subclass
insulin,,
integrase_inhibitors,,dolutegravir/raltegravir
intra_articular_corticosteroid,,joint injection
intra_articular_injection,,
intranasal_corticosteroids,,fluticasone/mometasone nasal
iron_chelation,,deferasirox/deferoxamine
iron_supplementation,,oral/IV iron (no exact category)
isoniazid,,
ketoconazole_or_metyrapone,,Cushing treatment
lactulose,,osmotic laxative
lamotrigine,,
laxatives,,
leukotriene_antagonists,,montelukast
levetiracetam,,
levodopa_carbidopa,,
levonorgestrel_IUD,,intrauterine device
levothyroxine,,thyroid hormone (no exact match)
lithium,,mood stabilizer
lithium_augmentation,,adjunctive lithium
local_anesthetics,,lidocaine/bupivacaine
long_term_PPI_without_review,,red flag
long_term_benzodiazepines,,red flag
long_term_macrolides,,red flag
loop_diuretics,,furosemide/bumetanide
macrolides,,
magnesium_sulfate,,eclampsia/tocolysis
melatonin,,sleep aid
metformin,,biguanide
methotrexate,,
metoclopramide,,
mineralocorticoids,,fludrocortisone
mirtazapine,,
misoprostol,,prostaglandin analogue
montelukast,,alias for leukotriene_antagonists
mood_stabilizers,,lithium/valproate/carbamazepine
morphine,,
mucolytics,,
muscle_relaxants,,
mydriatics,,atropine/tropicamide eye
naltrexone_or_acamprosate,,alcohol dependence
nitrates,,GTN/isosorbide
nitrofurantoin,,UTI antibiotic
non_DHP_CCBs,,verapamil/diltiazem
octreotide,,
omalizumab,,anti-IgE biologic
omega3_fatty_acids,,fish oil
opioids,,
oral_anticoagulants,,oral formulations (warfarin/DOACs)
oral_antibiotics,,
oral_contraceptives,,OCP
oral_iron,,ferrous sulfate etc. (no exact match)
oral_isotretinoin,,
oral_steroids,,prednisolone/prednisone oral
orlistat,,weight management (closest match)
osmotic_agents,,macrogol/lactulose
oxytocin,,
pancreatic_enzyme_replacement,,creon/pancreatin
paracetamol_high_dose,,red flag
parenteral_iron,,IV iron (no exact category)
penicillin_prophylaxis,,
pentoxifylline,,peripheral vasodilator
phenobarbital,,
phenytoin_or_fosphenytoin,,
phosphate_binders,,sevelamer/calcium (no exact match)
platelet_transfusion,,blood product (closest)
potassium_replacement,,electrolyte
pregabalin,,
primaquine,,malaria radical cure
probiotics,,
progesterone,,
progestins,,
prokinetics,,metoclopramide/domperidone
prolonged_NSAIDs,,red flag
prolonged_oral_NSAIDs,,red flag
prolonged_oral_steroids,,red flag
prolonged_steroids,,red flag
prolonged_topical_steroids,,red flag
propranolol,,non-selective BB
protease_inhibitors,,HIV protease inhibitors
proton_pump_inhibitors,,
pyrazinamide,,
pyridoxine,,vitamin B6 (no exact match)
quinine_monotherapy,,red flag
radiation_therapy,,radiotherapy (closest)
radioactive_iodine,,thyroid ablation (no exact match)
rate_control,,AF rate control
rhythm_control,,amiodarone/flecainide
rifampicin,,
rifaximin,,gut-selective antibiotic
rituximab,,biologic
salbutamol,,alias for SABA
second_generation_H1_up_to_4x_dose,,cetirizine/loratadine updosed
sedating_antihistamines_as_first_line,,red flag (chlorpheniramine)
sedatives,,
short_course_antibiotics_for_chronic,,red flag
short_course_steroids,,
single_agent_antibiotics,,monotherapy
somatostatin_analogues,,
statins,,
stool_softeners,,
stress_dose_steroids,,perioperative coverage
sucralfate,,mucosal protectant
sulfasalazine,,
sulfonylureas,,glipizide/glimepiride
surfactant_replacement,,neonatal RDS
surfactant_therapy,,
sympathomimetics,,alias
systemic_beta_blockers,,
systemic_steroids,,
targeted_therapy,,TKIs/monoclonal antibodies
theophylline,,methylxanthine
thiamine,,vitamin B1 (no exact match)
thiazide_diuretics,,HCTZ/chlorthalidone
thiazolidinediones,,pioglitazone
thrombolytics,,alteplase/tenecteplase
thrombopoietin_agonists,,eltrombopag/romiplostim
thyroid_hormones,,levothyroxine (no exact match)
topical_NSAIDs,,diclofenac gel
topical_analgesics,,
topical_anesthetics,,lidocaine topical
topical_antibiotics,,
topical_antifungals,,
topical_antivirals,,acyclovir cream
topical_beta_blockers,,timolol eye drops
topical_calcineurin_inhibitors,,tacrolimus/pimecrolimus
topical_capsaicin,,topical pain relief
topical_carbonic_anhydrase_inhibitors,,dorzolamide
topical_corticosteroid_combinations,,steroid+antibiotic combos
topical_corticosteroids,,
topical_estrogen,,vaginal estrogen
topical_heparinoids,,heparinoid gel
topical_lidocaine,,
topical_prostaglandin_analogues,,latanoprost/travoprost
topical_retinoids,,tretinoin/adapalene
topical_steroids,,
topical_vitamin_D_analogues,,calcipotriol
tranexamic_acid,,antifibrinolytic
trazodone,,
triptans,,sumatriptan
type_1C_antiarrhythmics,,flecainide/propafenone
urate_lowering,,allopurinol/febuxostat
valproate,,
vasopressors,,norepinephrine/dopamine
vitamin_B12,,cobalamin (no exact match)
vitamin_C,,ascorbic acid (no exact match)
vitamin_K,,phytomenadione
warfarin,,alias for oral anticoagulants
disulfiram,,alcohol deterrent
neuropathic_agents,,gabapentin/pregabalin
neuropathic_pain_agents,,alias
gabapentin_or_pregabalin,,either agent
ergot_alkaloids,,ergotamine
dienogest,,endometriosis treatment
oral_acetazolamide,,carbonic anhydrase inhibitor
barbiturates,,
amphetamines,,stimulants (red flag)
colloids,,plasma expanders
IV_fluids,,
IV_crystalloids,,normal saline/Ringer
IV_fluids_and_TPN,,parenteral nutrition
opioid_antidiarrheals,,loperamide (red flag use)
live_vaccines,,red flag with immunosuppression
pneumococcal_vaccine,,
hepatitis_B_vaccine,,
sodium_bicarbonate,,electrolyte correction
aminoglycoside_ear_drops,,topical aminoglycoside
tocolytics,,nifedipine/atosiban for preterm labor
blood_products,,transfusion products
blood_transfusion,,red cell/platelet transfusion
exchange_transfusion,,neonatal
fluoroquinolones_as_first_line,,red flag
fluoroquinolones_as_first_line_uncomplicated,,red flag
fluoroquinolones_in_children,,red flag
fluoroquinolones_in_pregnancy,,red flag
fluoroquinolones_without_culture,,red flag
NSAIDs_if_GI_cause,,red flag with GI bleeding
NSAIDs_if_bleeding_risk,,red flag
NSAIDs_in_dengue_endemic_season,,red flag dengue
NSAIDs_in_dengue_season,,red flag dengue
NSAIDs_prolonged,,red flag prolonged use
NSAIDs_with_anticoagulants,,red flag interaction
NSAIDs_with_steroids,,red flag combination
excessive_opioids,,red flag dosing
excessive_opioids_postpartum,,red flag postpartum
excessive_opioids_prolonged,,red flag prolonged
excessive_opioid_use,,red flag
opioids_as_first_line,,red flag
opioids_before_surgical_assessment,,red flag
opioids_for_dental_pain,,red flag
opioids_long_term,,red flag
opioids_prolonged,,red flag
prolonged_antibiotics,,red flag
prolonged_antibiotics_without_culture,,red flag
prolonged_antibiotics_without_review,,red flag
prolonged_antibiotics_without_sputum_culture,,red flag
prolonged_antibiotics_without_dental_treatment,,red flag
prolonged_oral_antibiotics,,red flag
prolonged_antibiotic_prophylaxis,,red flag
prolonged_antifungals_without_culture,,red flag
prolonged_azoles_without_LFT_monitoring,,red flag
prolonged_high_dose_steroids,,red flag
prolonged_topical_decongestants,,red flag rhinitis medicamentosa
macrolides_as_first_line,,red flag
antibiotics_without_bacterial_indication,,red flag
antibiotics_routinely,,red flag
antibiotics_for_uncomplicated_gastroenteritis,,red flag
antibiotics_before_10_days,,red flag
broad_spectrum_antibiotics_without_culture,,red flag
broad_spectrum_antibiotics_without_indication,,red flag
aminoglycosides_monotherapy,,red flag
aminoglycosides_without_monitoring,,red flag
aminoglycosides_without_level_monitoring,,red flag
excessive_benzodiazepines,,red flag
benzodiazepines_long_term,,red flag
excessive_insulin,,red flag dosing
excessive_sulfonylurea_doses,,red flag dosing
excessive_morphine,,red flag dosing
excessive_levothyroxine,,red flag thyroid
excessive_antithyroid,,red flag
excessive_gabapentinoid_doses,,red flag dosing
sedating_antihistamines_as_first_line,,red flag
high_dose_ICS_without_indication,,red flag
high_dose_diuretics_without_K_monitoring,,red flag
high_dose_paracetamol,,red flag hepatotoxic
aspirin_in_children,,red flag Reye syndrome
aspirin_monotherapy_for_DVT,,red flag inadequate
aspirin_monotherapy_for_PE,,red flag inadequate
aspirin_monotherapy_for_stroke_prevention,,red flag AF
polypharmacy_antipsychotics,,red flag
clozapine_without_CBC_monitoring,,red flag
prolonged_ondansetron_without_ECG,,red flag QTc
testosterone_supplementation,,
prophylactic_systemic_antibiotics,,may be red flag
thromboprophylaxis,,DVT prophylaxis
allopurinol_during_acute_flare,,red flag timing
gemfibrozil_with_statins,,red flag rhabdomyolysis
clopidogrel_with_omeprazole,,red flag interaction
high_dose_statins_without_monitoring,,red flag (already exists but also maps here)
methotrexate_without_folic_acid,,red flag
methotrexate_without_monitoring,,red flag
lithium_without_level_monitoring,,red flag
phenytoin_without_level_monitoring,,red flag
valproate_in_pregnancy,,red flag teratogenic
valproate_in_women_of_childbearing_age,,red flag teratogenic
tricyclics_in_elderly,,red flag anticholinergic
tricyclics_in_overdose_risk,,red flag
immunosuppressants_without_antiviral_cover,,red flag
cyclophosphamide_without_monitoring,,red flag
anticoagulants_pre_surgical_without_review,,red flag
verapamil_with_beta_blockers,,red flag heart block
PDE5_inhibitors_with_nitrates,,red flag severe hypotension
vitamin_A_supplementation,,retinol
vitamin_B_complex,,B vitamins
vitamin_E,,tocopherol
zinc,,mineral supplement (no exact match)
multivitamins,,supplements (no exact match)
calamine_lotion,,topical soothing
fiber_supplementation,,dietary fiber supplement
potent_topical_steroids_on_face,,red flag
potent_topical_steroids_on_thin_skin,,red flag
topical_steroids_on_burns,,red flag
topical_steroids_without_emollients,,red flag
phosphodiesterase_3_inhibitors,Cardiac stimulants excl. cardiac glycosides : Phosphodiesterase 3 inhibitors;Phosphodiesterase 3 inhibitors,Positive inotropic agents like milrinone
calcineurin_inhibitors,Immunosuppressants : Calcineurin inhibitors;Selective immunosuppressants,Tacrolimus and cyclosporine for transplant or autoimmune
anticholinesterases,Nervous system : Parasympathomimetics : Anticholinesterases;Anticholinesterases,Pyridostigmine for myasthenia gravis
alpha_glucosidase_inhibitors,"Drugs used in diabetes : Blood glucose lowering drugs, excl. insulins : Alpha glucosidase inhibitors;Alpha glucosidase inhibitors",Acarbose for post-prandial glucose control
carbonic_anhydrase_inhibitors,Antiglaucoma preparations and miotics : Carbonic anhydrase inhibitors;Ophthalmologicals : Antiglaucoma preparations and miotics,Acetazolamide or brinzolamide for glaucoma
direct_thrombin_inhibitors,Antithrombotic agents : Direct thrombin inhibitors;Direct thrombin inhibitors,NOACs like dabigatran
factor_xa_inhibitors,Antithrombotic agents : Direct factor Xa inhibitors;Direct factor Xa inhibitors,NOACs like rivaroxaban or apixaban
prostaglandin_analogues_ophthalmic,Antiglaucoma preparations and miotics : Prostaglandin analogues;Prostaglandin analogues,Latanoprost or travoprost eye drops
ace_inhibitor_diuretic_combinations,Antihypertensives: ACE inhibitors and diuretics;ACE inhibitors and diuretics,Fixed-dose combination of ACEi and diuretic
arb_diuretic_combinations,Antihypertensives: Angiotensin II antagonists and diuretics;ARBs and diuretics,Fixed-dose combination of ARB and diuretic
beta_blocker_diuretic_combinations,Beta blocking agents and diuretics;Beta blockers and diuretics,Fixed-dose combination of Beta blocker and diuretic
ccb_statin_combinations,"Lipid modifying agents: HMG CoA reductase inhibitors, other combinations;Statins and CCBs",Fixed-dose combination of CCB and HMG CoA reductase inhibitor
ace_inhibitor_ccb_combinations,Antihypertensives: ACE inhibitors and calcium channel blockers;ACEi and CCB,Fixed-dose combination of ACEi and CCB
arb_ccb_combinations,Antihypertensives: Angiotensin II antagonists and calcium channel blockers;ARB and CCB,Fixed-dose combination of ARB and CCB
cardioselective_beta_blockers,"Beta blocking agents, selective;Selective beta blockers",Beta-1 selective blockers
non_selective_beta_blockers_plain,"Beta blocking agents, non-selective;Non-selective beta blockers",Beta blockers acting on Beta-1 and Beta-2
dihydropyridine_ccbs_plain,Calcium channel blockers: Selective calcium channel blockers with mainly vascular effects;Dihydropyridine derivatives,Dihydropyridine-type calcium channel blockers
calcium_channel_blockers_diltiazem_verapamil,Calcium channel blockers: Selective calcium channel blockers with direct cardiac effects;Non-dihydropyridine CCB,Non-dihydropyridine calcium channel blockers
loop_diuretics_parenteral,Diuretics: High-threshold diuretics;Injectable loop diuretics,Intravenous loop diuretics for acute management
thiazide_like_diuretics_plain,"Diuretics: Low-threshold diuretics, excluding thiazides;Thiazide-like",Diuretics like chlortalidone or indapamide
potassium_sparing_diuretics_non_mra,Diuretics: Potassium-sparing agents;Amiloride,Potassium-sparing diuretics excluding mineralocorticoid receptor antagonists
p2y12_inhibitors_thienopyridine,Antithrombotic agents: Platelet aggregation inhibitors excluding heparin;Clopidogrel;Prasugrel,Thienopyridine class P2Y12 inhibitors
p2y12_inhibitors_non_thienopyridine,Antithrombotic agents: Platelet aggregation inhibitors excluding heparin;Ticagrelor,Non-thienopyridine class P2Y12 inhibitors
high_intensity_statin_therapy,"Lipid modifying agents: HMG CoA reductase inhibitors;Statins, high-intensity",High-potency statin regimens
moderate_intensity_statin_therapy,"Lipid modifying agents: HMG CoA reductase inhibitors;Statins, moderate-intensity",Moderate-potency statin regimens
low_intensity_statin_therapy,"Lipid modifying agents: HMG CoA reductase inhibitors;Statins, low-intensity",Low-potency statin regimens
statin_cholesterol_absorption_inhibitor_combinations,Lipid modifying agents: Statins in combination with ezetimibe;Simvastatin and ezetimibe,Combinations like Simvastatin/Ezetimibe
statin_fibrate_combination_therapy,Lipid modifying agents: Statins in combination with fibrates;Statins and fibrates,Fixed or concurrent use of statins and fibrates
dual_antiplatelet_therapy_dapt,Antithrombotic agents: Dual antiplatelet therapy;Aspirin and clopidogrel,Concurrent use of two antiplatelets
triple_antiplatelet_therapy,"Antithrombotic agents: Triple antiplatelet therapy;Aspirin, Clopidogrel, Cilostazol",Concurrent use of three antiplatelets
glycoprotein_iib_iiia_receptor_antagonists,Antithrombotic agents: Glycoprotein IIb/IIIa inhibitors;Tirofiban,Intravenous antiplatelets for ACS
beta_blockers_with_intrinsic_sympathomimetic_activity,"Beta blocking agents, selective;Beta blockers with ISA",Beta blockers that partially stimulate receptors
combined_alpha_and_beta_blocking_agents,Beta blocking agents: Alpha and beta blocking agents;Carvedilol,Agents with both alpha-1 and beta blocking activity
third_generation_beta_blockers,Beta blocking agents: Vasodilating beta blockers;Nebivolol,Beta blockers with vasodilatory properties
carbonic_anhydrase_inhibitors_diuretic_use,Diuretics: Carbonic anhydrase inhibitors;Acetazolamide,Acetazolamide for systemic diuretic effect
osmotic_diuretic_therapy,Diuretics: Osmotic diuretics;Mannitol,Osmotic agents used as diuretics
direct_renin_inhibitors,Antihypertensives: Renin inhibitors;Aliskiren,Agents that directly inhibit renin
antiplatelet_plus_ppi_fixed_dose,Antithrombotic agents: Platelet aggregation inhibitors and PPI;Aspirin and Esomeprazole,Fixed dose combinations of antiplatelets and PPIs
penicillins_extended_spectrum,"Antibacterials: Penicillins with extended spectrum;Penicillins, extended spectrum;Amoxicillin;Ampicillin",Extended spectrum penicillins like Amoxicillin and Ampicillin
penicillins_natural,Antibacterials: Beta-lactamase sensitive penicillins;Natural penicillins;Penicillin V;Penicillin G,Natural penicillins sensitive to beta-lactamase
penicillins_isoxazolyl,Antibacterials: Beta-lactamase resistant penicillins;Cloxacillin;Dicloxacillin;Nafcillin,Penicillinase-resistant penicillins used for staphylococcal infections
penicillins_ureido,Antipseudomonal penicillins;Piperacillin;Ticarcillin,Extended spectrum penicillins with antipseudomonal activity
cephalosporins_first_gen,Antibacterials: First-generation cephalosporins;Cephalexin;Cefazolin;Cephradine,First generation cephalosporins
cephalosporins_second_gen,Antibacterials: Second-generation cephalosporins;Cefuroxime;Cefaclor;Cefoxitin,Second generation cephalosporins
cephalosporins_third_gen,Antibacterials: Third-generation cephalosporins;Ceftriaxone;Cefotaxime;Ceftazidime;Cefixime,Third generation cephalosporins
cephalosporins_fourth_gen,Antibacterials: Fourth-generation cephalosporins;Cefepime,Fourth generation cephalosporins
cephalosporins_fifth_gen,Antibacterials: Other cephalosporins and penems;Ceftaroline;Ceftobiprole,Advanced generation cephalosporins with MRSA activity
macrolides_erythromycin_group,Antibacterials: Erythromycin;Macrolides: Erythromycin;Erythromycin base,Traditional erythromycin-based macrolides
macrolides_advanced_generation,Antibacterials: Azithromycin;Antibacterials: Clarithromycin;Antibacterials: Roxithromycin,Later generation macrolides with improved pharmacokinetics
fluoroquinolones_norfloxacin_type,Antibacterials: Norfloxacin;Urinary fluoroquinolones,Fluoroquinolones primarily used for urinary tract infections
fluoroquinolones_ciprofloxacin_type,Antibacterials: Ciprofloxacin;Antibacterials: Ofloxacin;Fluoroquinolones: Ciprofloxacin,General systemic fluoroquinolones
fluoroquinolones_respiratory_type,Antibacterials: Levofloxacin;Antibacterials: Moxifloxacin;Respiratory fluoroquinolones,Fluoroquinolones with enhanced activity against respiratory pathogens
antifungals_triazole_systemic,"Antifungals for systemic use, triazole derivatives;Fluconazole;Itraconazole;Voriconazole",Triazole antifungals for systemic fungal infections
antifungals_imidazole_systemic,"Antifungals for systemic use, imidazole derivatives;Ketoconazole systemic",Imidazole antifungals used systemically
antifungals_polyene_systemic,"Antifungals for systemic use, polyenes;Amphotericin B;Nystatin systemic",Polyene antifungals for serious systemic infections
antifungals_allylamine_systemic,"Antifungals for systemic use, other;Terbinafine systemic",Systemic allylamine antifungals primarily for dermatophytosis
antifungals_fluorinated_pyrimidine,"Antifungals for systemic use, pyrimidine analogues;Flucytosine",Pyrimidine analogue antifungal
antivirals_neuraminidase_inhibitors_flu,Antivirals for treatment of influenza infections;Oseltamivir;Zanamivir,Antivirals used for influenza A and B
antivirals_antiherpetic_nucleosides,Antivirals for treatment of herpes infections;Acyclovir;Valacyclovir;Famciclovir,Nucleoside analogues for HSV and VZV
antivirals_anti_cmv_agents,Antivirals for treatment of cytomegalovirus infections;Ganciclovir;Valganciclovir,Specific agents for CMV infection
antivirals_hbv_nucleoside_analogues,Nucleoside reverse transcriptase inhibitors: HBV;Entecavir;Lamivudine HBV,Nucleoside analogues for Hepatitis B
antivirals_hbv_nucleotide_analogues,Nucleotide reverse transcriptase inhibitors: HBV;Tenofovir DF;Tenofovir AF,Nucleotide analogues for Hepatitis B
antivirals_hcv_protease_inhibitor_class,Direct-acting antivirals: NS3 protease inhibitors;Simeprevir;Paritaprevir,HCV NS3/4A protease inhibitors
antivirals_hcv_ns5b_polymerase_inhibitors,Direct-acting antivirals: NS5B RNA polymerase inhibitors;Sofosbuvir,HCV NS5B polymerase inhibitors
antivirals_hcv_ns5a_inhibitor_class,Direct-acting antivirals: NS5A inhibitors;Daclatasvir;Ledipasvir;Velpatasvir,HCV NS5A inhibitors
antivirals_hcv_combination_regimens,"Direct-acting antivirals, combinations;Sofosbuvir and Ledipasvir;Sofosbuvir and Velpatasvir",Fixed dose combinations for Hepatitis C
antivirals_rsv_nucleoside_analogues,Antivirals for treatment of RSV infections;Ribavirin systemic,Systemic ribavirin for RSV or other viral infections
antivirals_sars_cov_2_therapies,Antivirals for treatment of COVID-19;Favipiravir;Molnupiravir;Nirmatrelvir,Antivirals specifically used for SARS-CoV-2
antidepressants_ssri_class,"Selective serotonin reuptake inhibitors;Antidepressant, SSRI",Systemic SSRI antidepressants for depression and anxiety
antidepressants_snri_class,"Serotonin norepinephrine reuptake inhibitors;Antidepressant, SNRI",Systemic SNRI antidepressants for depression and chronic pain
tricyclic_antidepressants_tertiary_amines,"Tricyclic antidepressant, tertiary amine;Amitriptyline;Clomipramine;Imipramine",Tertiary amine TCAs often used for depression or neuropathic pain
tricyclic_antidepressants_secondary_amines,"Tricyclic antidepressant, secondary amine;Nortriptyline",Secondary amine TCAs with typically less sedative effect
monoamine_oxidase_a_inhibitors,MAO-A inhibitors;Moclobemide,Reversible inhibitors of monoamine oxidase type A
antipsychotics_phenothiazines,Phenothiazine antipsychotics;Chlorpromazine;Perphenazine;Fluphenazine,First-generation antipsychotics of the phenothiazine class
antipsychotics_butyrophenones,Butyrophenone antipsychotics;Haloperidol,First-generation antipsychotics of the butyrophenone class
antipsychotics_thioxanthenes,Thioxanthene antipsychotics;Zuclopenthixol;Flupentixol,First-generation antipsychotics of the thioxanthene class
antipsychotics_dibenzodiazepines,Dibenzodiazepine antipsychotics;Clozapine,Atypical antipsychotics specifically of the dibenzodiazepine group
antipsychotics_benzisoxazoles,Benzisoxazole derivatives;Risperidone,Atypical antipsychotics of the benzisoxazole class
antipsychotics_dihydroindolones,Indolones;Ziprasidone,Atypical antipsychotics of the dihydroindolone class
antipsychotics_quinolinones,Quinolinone derivatives;Aripiprazole,Atypical antipsychotics of the quinolinone class
antipsychotics_thienobenzodiazepines,Thienobenzodiazepines;Olanzapine,Atypical antipsychotics of the thienobenzodiazepine class
benzodiazepines_short_half_life,Short-acting benzodiazepines;Midazolam;Triazolam,Benzodiazepines with short elimination half-lives used as hypnotics
benzodiazepines_long_half_life,Long-acting benzodiazepines;Diazepam;Chlordiazepoxide,Benzodiazepines with long elimination half-lives or active metabolites
non_benzodiazepine_hypnotics,Non-benzodiazepine hypnotics;Z-drugs;Zolpidem;Zopiclone,GABA-A receptor agonists that are not benzodiazepines
anticonvulsants_hydantoins,Hydantoin anticonvulsants;Phenytoin,Antiepileptic drugs of the hydantoin class
anticonvulsants_succinimides,Succinimide anticonvulsants;Ethosuximide,Antiepileptic drugs used primarily for absence seizures
anticonvulsants_carboxamides,Carboxamide anticonvulsants;Carbamazepine;Oxcarbazepine,Antiepileptic drugs of the carboxamide class
anticonvulsants_fatty_acids,Fatty acid anticonvulsants;Valproic acid;Sodium valproate,Antiepileptic drugs of the fatty acid derivative class
anticonvulsants_triazines,Triazine derivatives;Lamotrigine,Antiepileptic drugs of the triazine class
anticonvulsants_gaba_analogs_class,GABA analogs;Gabapentin;Pregabalin,Gabapentinoid anticonvulsants used for epilepsy and neuralgia
opioids_natural_alkaloids,Natural opium alkaloids;Morphine;Codeine,Opioid analgesics derived from natural opium
opioids_phenylpiperidines,Phenylpiperidine derivatives;Fentanyl;Pethidine,Synthetic opioid analgesics of the phenylpiperidine class
opioids_diphenylpropylamines,Diphenylpropylamine derivatives;Methadone,Synthetic opioid analgesics of the diphenylpropylamine class
opioids_benzomorphans,Benzomorphan derivatives;Pentazocine,Mixed agonist-antagonist opioid analgesics
opioids_oripavines,Oripavine derivatives;Buprenorphine,Partial agonist opioid analgesics derived from oripavine
opioid_receptor_antagonists,Opioid antagonists;Naloxone;Naltrexone,Agents used to reverse or block opioid effects
sari_antidepressant_class,Serotonin antagonist and reuptake inhibitors;Trazodone,Antidepressants with serotonin receptor blocking and reuptake inhibition
nassa_antidepressant_class,Noradrenergic and specific serotonergic antidepressants;Mirtazapine,Antidepressants acting on alpha-2 receptors and serotonin receptors
