procedure_code,procedure_name,english_name,category,min_cost_thb,max_cost_thb,region,facility_tier,source
LAB-033,Lipid - Cholesterol,Lipid - cholesterol,Laboratory,55,55,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-034,Lipid - TG (Triglyceride),Lipid - triglyceride (TG),Laboratory,55,55,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-035,Lipid - HDL - chol,Lipid - HDL cholesterol,Laboratory,90,90,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-036,Lipid - LDL - chol (direct) สั่งรายการเดียว,Lipid - LDL cholesterol (direct) single order,Laboratory,130,130,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-037,"Acid phosphatase, Total","Acid phosphatase, total",Laboratory,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-038,CPK,Creatine phosphokinase (CPK),Laboratory,70,70,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-039,CK - MB (Activity),Creatine kinase-MB (activity),Laboratory,90,90,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-040,Alkaline phosphatase,Alkaline phosphatase,Laboratory,35,35,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-041,SGOT (AST),SGOT (AST),Laboratory,35,35,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-042,SGPT (ALT),SGPT (ALT),Laboratory,35,35,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-043,HbA1c,Hemoglobin A1c (HbA1c),Laboratory,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-044,"Protein, Total","Protein, total",Laboratory,50,50,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-045,Micro - albumin,Microalbumin,Laboratory,270,270,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-046,"Cortisol (CMIA,EC MIA,ELISA)","Cortisol (CMIA, ECMIA, ELISA)",Laboratory,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-047,Thyroid hormone - TSH (Thyroid Stimulating Hormone),Thyroid stimulating hormone (TSH),Laboratory,120,120,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-048,Thyroid hormone - T4,Thyroid hormone - T4,Laboratory,100,100,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-049,Thyroid hormone - Free T4,Thyroid hormone - free T4,Laboratory,100,100,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-050,Thyroid hormone - T3,Thyroid hormone - T3,Laboratory,100,100,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-051,Thyroid hormone - Free T3,Thyroid hormone - free T3,Laboratory,100,100,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-052,PTH (intac t),Parathyroid hormone (PTH) intact,Laboratory,850,850,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-053,FSH,Follicle-stimulating hormone (FSH),Laboratory,240,240,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-054,LH,Luteinizing hormone (LH),Laboratory,330,330,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-055,Estradiol,Estradiol,Laboratory,450,450,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-056,Testosterone,Testosterone,Laboratory,450,450,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-057,Progesterone,Progesterone,Laboratory,400,400,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-058,Phenytoin (Dilantin),Phenytoin (Dilantin),Laboratory,220,220,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-059,Valproic acid/Sodium valproate (Depakin),Valproic acid / sodium valproate (Depakine),Laboratory,240,240,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-060,Phenobarbital,Phenobarbital,Laboratory,500,500,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-061,Carbamazepine (Tegretol),Carbamazepine (Tegretol),Laboratory,250,250,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-062,Lit hium (Clotted Blood),Lithium (clotted blood),Laboratory,320,320,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-063,Clinical chemistry(toxicology) Other volatile agent,Clinical chemistry (toxicology) - other volatile agent,Laboratory,800,800,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-064,Cholinesterase (plasma or red cell),Cholinesterase (plasma or red cell),Laboratory,200,200,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-065,Urine Methamphetamine (immunoassay),Urine methamphetamine (immunoassay),Laboratory,90,90,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-066,Urine M arijiana test,Urine marijuana test,Laboratory,140,140,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-067,Malanin in Urine,Melanin in urine,Laboratory,100,100,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-068,Urine Analysis,Urine analysis,Laboratory,50,50,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-069,Pregnancy test,Pregnancy test,Laboratory,60,60,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-070,Urine lodeine,Urine codeine,Laboratory,120,120,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-071,immuno;ogical / serology and virology section (Bacteria) VDR L (RPR),Immunological/serology and virology - VDRL (RPR),Laboratory,50,50,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-072,FTA - Abs,FTA-Abs,Laboratory,200,200,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-073,FTA - ABS IgM,FTA-ABS IgM,Laboratory,200,200,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-074,TPHA,TPHA (Treponema pallidum hemagglutination assay),Laboratory,100,100,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-075,Hepatitis - Anti HAV total (ELISA),Hepatitis - anti-HAV total (ELISA),Laboratory,400,400,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-076,Hepatitis - Anti HAV IgM (ELISA),Hepatitis - anti-HAV IgM (ELISA),Laboratory,400,400,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-077,HBc - Ab - PHA,Hepatitis B core antibody (HBc-Ab) - PHA,Laboratory,140,140,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-078,"HBc - Ab - ELISA, MEIA, ECLIA","Hepatitis B core antibody (HBc-Ab) - ELISA, MEIA, ECLIA",Laboratory,500,500,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-079,HBc - Ab (IgM),Hepatitis B core antibody (HBc-Ab) IgM,Laboratory,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-080,HBe - Ag - PHA,Hepatitis B e-antigen (HBe-Ag) - PHA,Laboratory,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-081,"HBe - Ag - ELISA, MEIA, ECLIA","Hepatitis B e-antigen (HBe-Ag) - ELISA, MEIA, ECLIA",Laboratory,170,170,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-082,HBe - Ab,Hepatitis B e-antibody (HBe-Ab),Laboratory,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-083,HBs - Ab (Hepatitis B surface Ab),Hepatitis B surface antibody (HBs-Ab),Laboratory,100,100,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-084,HBs - Ab (Hepatitis B surface Ab),Hepatitis B surface antibody (HBs-Ab) - enhanced,Laboratory,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-085,HBs - Ag (Hepatitis B surface antigen),Hepatitis B surface antigen (HBs-Ag),Laboratory,70,70,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-086,HBs - Ag (Hepatitis B surface antigen) ECLIA,Hepatitis B surface antigen (HBs-Ag) - ECLIA,Laboratory,130,130,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-087,HCV - Ab (Hepatitis C Antibody),Hepatitis C antibody (HCV-Ab),Laboratory,200,200,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-088,"HCV - Ab (Hepatitis C Antibody) - ELISA, MEIA, ECLIA","Hepatitis C antibody (HCV-Ab) - ELISA, MEIA, ECLIA",Laboratory,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-089,HIV - Ab (screening) - RAPID,HIV antibody screening - rapid test,Laboratory,200,200,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-090,"HIV - Ab (screening) - GPA, ELISA, MEIA, ECLIA","HIV antibody screening - GPA, ELISA, MEIA, ECLIA",Laboratory,120,120,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-091,HIV - Ab (confirm) - Western Blot,HIV antibody confirmatory - Western blot,Laboratory,1000,1000,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-092,HIV - Ag ( 600 ),HIV antigen,Laboratory,130,130,northeast,public,MoPH-ServiceRateSchedule-2022
LAB-093,HIV viral load - Quantitative (Real time PCR),HIV viral load - quantitative (real-time PCR),Laboratory,2000,2000,northeast,public,MoPH-ServiceRateSchedule-2022
MH-001,บริการตรวจทางจิตวิทยาทั้งหมด,Comprehensive psychological testing services,Mental_Health,200,200,northeast,public,MoPH-ServiceRateSchedule-2022
MH-002,ทดสอบเชาว์ปัญญา,Intelligence quotient (IQ) testing,Mental_Health,200,200,northeast,public,MoPH-ServiceRateSchedule-2022
MH-003,ทดสอบบุคลิกภาพ,Personality testing,Mental_Health,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
MH-004,ทดสอบพยาธิวิทยาทางสมอง,Brain pathology testing,Mental_Health,200,200,northeast,public,MoPH-ServiceRateSchedule-2022
MH-005,"Standardized occupational therapy assessment (DDST, reflex testing, dexterity)","Standardized occupational therapy assessment (DDST, reflex testing, dexterity)",Mental_Health,100,100,northeast,public,MoPH-ServiceRateSchedule-2022
MH-006,Non-standardized OT assessment,Non-standardized OT assessment,Mental_Health,80,80,northeast,public,MoPH-ServiceRateSchedule-2022
MH-007,Group assessment (no later than 5 clients per one OT),Group assessment (max 5 clients per OT),Mental_Health,80,80,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-001,การประเมินการตรวจวินิจฉัยทางจิตวิทยาคลินิก,Clinical psychology diagnostic assessment,Mental_Health,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-002,การทดสอบพัฒนาการและวุฒิภาวะทางสังคม,Developmental and social maturity testing,Mental_Health,800,800,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-003,"การทดสอบเชาวน์ปัญญา (We chsler Scale , Standford Binet)","Intelligence testing (Wechsler Scale, Stanford-Binet)",Mental_Health,1000,1000,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-004,การทดสอบเชาวน์ปัญญา ( Screening Test ),Intelligence screening test,Mental_Health,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-005,การทดสอบบุคลิกภาพและพยาธิสภาพทางจิต (Battery Test),Personality and psychopathology battery test,Mental_Health,1000,1000,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-006,การทดสอบพยาธิสภาพทางประสาทจิตวิทยา ด้วย Screening Test,Neuropsychological pathology screening test,Mental_Health,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-007,การทดสอบควา มบกพร่องทางการเรียน,Learning disability testing,Mental_Health,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-008,การให้ค าปรึกษารายบุคคล ( โดยสหวิชาชีพ),Individual counseling (multidisciplinary),Mental_Health,250,250,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-009,การให้ค าปรึกษารายกลุ่ม ( โดยสหวิชาชีพ),Group counseling (multidisciplinary),Mental_Health,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-010,การท าจิตบาบัดรายบุคคล,Individual psychotherapy,Mental_Health,500,500,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-011,การท ากลุ่มจิตบาบัด ( ทั่วไป ),Group psychotherapy (general),Mental_Health,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-012,การท าครอบครัวบาบัด ( โดยสหวิชาชีพ),Family therapy (multidisciplinary),Mental_Health,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-013,พฤติกรรมบ าบัด,Behavioral therapy,Mental_Health,500,500,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-014,การบาบัดด้วยการเล่น (Play for Therapy),Play therapy,Mental_Health,400,400,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-015,การฝึกทักษะทางจิตสังคม (Psychosocial Skills Training),Psychosocial skills training,Mental_Health,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-016,การฝึกทักษะทางสังคม (Social Skills Training),Social skills training,Mental_Health,400,400,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-017,การฝึกเพื่อผ่อนคลายจิตและกาย (Mental and Physical Relaxation),Mental and physical relaxation training,Mental_Health,400,400,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-018,การตรวจวินิจฉัยทางจิตวิทยาคลินิกเพื่อ ประกอบการออกใบรับรองแพทย์,Clinical psychology diagnostic evaluation for medical certificate,Mental_Health,2700,2700,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-019,การให้คาปรึกษาด้านนิติจิตเวช,Forensic psychiatry counseling,Mental_Health,600,600,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-020,การเตรียมความพร้อมในการต่อสู้คดี,Legal case preparation,Mental_Health,600,600,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-021,การเตรียมความพร้อมก่อนออกสู่สังคม ส าหรับผู้ป่วยนิติจิตเวช,Pre-release social reintegration for forensic psychiatric patients,Mental_Health,500,500,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-022,การเตรียมความพร้อมผู้ป่วย ญาติและชุมชน ก่อนจ าหน่ายผู้ป่วยนิติจิตเวช กลับสู่ชุมชน,"Pre-discharge preparation for forensic psychiatric patients, families, and community",Mental_Health,2500,2500,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-023,การติดตามดูแลผู้ป่วยนิติจิตเวชหลังจ าหน่าย กลับสู่เ รือนจ า,Post-discharge follow-up of forensic psychiatric patients returning to prison,Mental_Health,1500,1500,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-024,การติดตามดูแลผู้ป่วยนิติจิตเวชหลังพ้นโทษ กลับสู่ชุมชน,Post-release community follow-up of forensic psychiatric patients,Mental_Health,2000,2000,northeast,public,MoPH-ServiceRateSchedule-2022
PSY-025,การช่วยเหลือเยียวยาผู้ได้รับผลกระทบจาก พฤติกรรมรุนแรงของผู้ป่วยนิติจิตเวช ( เหยื่อ),Victim assistance and recovery from forensic psychiatric patient violence,Mental_Health,1600,1600,northeast,public,MoPH-ServiceRateSchedule-2022
SE-001,การทดสอบความบกพร่องทางการเรียน,Learning disability testing,Mental_Health,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
SE-002,การให้ค าปรึกษารายบุคคล ( โดยสหวิชาชีพ),Individual counseling (multidisciplinary),Mental_Health,250,250,northeast,public,MoPH-ServiceRateSchedule-2022
SE-003,การให้ค าปรึกษารายกลุ่ม (โดยสหวิชาชีพ),Group counseling (multidisciplinary),Mental_Health,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
SE-004,กลุ่มบ าบัดพื้นฐาน เช่น กลุ่มนันทนาการ กลุ่ม อ่านหนังสือ กลุ่มวาดภาพ กลุ่มเสริมแรงจูงใจ ฯลฯ ( โดยสหวิชาชีพ),"Basic therapy groups (e.g., recreation, reading, drawing, motivation) - multidisciplinary",Mental_Health,350,350,northeast,public,MoPH-ServiceRateSchedule-2022
SE-005,การฝึกความจ า ( Memory Training),Memory training,Mental_Health,400,400,northeast,public,MoPH-ServiceRateSchedule-2022
SE-006,การส่งเสริมพัฒนาการเพื่อเตรียมความพร้อม ด้านการดารงชีวิตตามวัย,Age-appropriate daily living developmental readiness,Mental_Health,400,400,northeast,public,MoPH-ServiceRateSchedule-2022
SE-007,การส่งเสริมทักษะการด ารงชีวิต,Daily living skills promotion,Mental_Health,350,350,northeast,public,MoPH-ServiceRateSchedule-2022
SE-008,การส่งเสริมพัฒนาการเพื่อเ ตรียมความพร้อม ด้านการเรียน,Academic readiness developmental promotion,Mental_Health,400,400,northeast,public,MoPH-ServiceRateSchedule-2022
SE-009,การฝึกและเตรียมความพร้อมก่อนเข้าเรียน (Preschool Skills Training),Preschool skills training,Mental_Health,400,400,northeast,public,MoPH-ServiceRateSchedule-2022
SE-010,การฝึกความคิด ความเข้าใจ ( Cognitive Training),Cognitive training,Mental_Health,200,200,northeast,public,MoPH-ServiceRateSchedule-2022
SE-011,การฝึกกิจวัตรประจ าวันขั้นพื้นฐาน ( Basic ADL Training),Basic activities of daily living (ADL) training,Mental_Health,200,200,northeast,public,MoPH-ServiceRateSchedule-2022
SE-012,การฝึกทักษะการเขียน(ใช้รหัสฝึกความ คล่องแคล่ว) (Writing Skills Training),Writing skills training (dexterity practice),Mental_Health,200,200,northeast,public,MoPH-ServiceRateSchedule-2022
SE-013,การสอนญาติและผู้ป่วยเพื่อท ากิจกรรมบ าบัดที่ บ้าน (Home OT Program),Home occupational therapy program (patient and family education),Mental_Health,200,200,northeast,public,MoPH-ServiceRateSchedule-2022
SE-014,กลุ่มบ าบัดเฉ พาะโรคเพื่อการฟื้นฟูสู่สุขภาวะ ( โดยสหวิชาชีพ),Disease-specific therapy group for rehabilitation (multidisciplinary),Mental_Health,800,800,northeast,public,MoPH-ServiceRateSchedule-2022
SE-015,การปรับพฤติกรรมการท างานและการท า กิจกรรมในการดาเนินชีวิต (Behavioral Modification for Occupation),Behavioral modification for occupation and daily activities,Mental_Health,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
SE-016,การจัดการกิจกรรมยามว่าง (Leisure Management/Participati on),Leisure management/participation,Mental_Health,400,400,northeast,public,MoPH-ServiceRateSchedule-2022
SE-017,นันทนาการบ าบัด (Recreation Therapy),Recreation therapy,Mental_Health,350,350,northeast,public,MoPH-ServiceRateSchedule-2022
SE-018,ดนตรีบ าบัด (Music Therapy),Music therapy,Mental_Health,350,350,northeast,public,MoPH-ServiceRateSchedule-2022
SE-019,Educational therapy,Educational therapy,Mental_Health,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
SE-020,ส่งเสริมพัฒนาการรายบุคคล ( Individual Early Intervention),Individual early intervention,Mental_Health,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
SE-021,Picture Exchange Communication Systems : PECS,Picture Exchange Communication Systems (PECS),Mental_Health,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
SE-022,ส่งเสริมพัฒนาการรายบุคคล ( TEACCH) ครั้,Individual developmental promotion (TEACCH),Mental_Health,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
SE-023,ให้ค าปรึกษาสาหรับผู้ปกครองและผู้ป่วยในการ ปฏิบัติตนที่บ้าน Home program,Home program counseling for parents and patients,Mental_Health,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
SE-024,Home management training,Home management training,Mental_Health,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
SE-025,การส่งเสริมทักษะทางสังคมและทักษะพื้นฐาน การท างาน,Social skills and basic vocational skills promotion,Mental_Health,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
SS-001,การให้ค าปรึกษารายบุคคล (โดยสหวิชาชีพ),Individual counseling (multidisciplinary),Mental_Health,250,250,northeast,public,MoPH-ServiceRateSchedule-2022
SS-002,การให้ค าปรึกษารายกลุ่ม ( โดยสหวิชาชีพ),Group counseling (multidisciplinary),Mental_Health,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
SS-003,กลุ่มบ าบัดเฉพาะโรคเพื่อการฟื้นฟูสู่สุขภาวะ ( โดยสหวิชาชีพ),Disease-specific therapy group for rehabilitation (multidisciplinary),Mental_Health,800,800,northeast,public,MoPH-ServiceRateSchedule-2022
SS-004,การท าจิตบ าบัดรายบุคคล,Individual psychotherapy,Mental_Health,500,500,northeast,public,MoPH-ServiceRateSchedule-2022
SS-005,การท ากลุ่มจิตบ าบัด ( ทั่วไป),Group psychotherapy (general),Mental_Health,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
SS-006,การท าครอบครัวบ าบัด ( โดยสหวิชาชีพ),Family therapy (multidisciplinary),Mental_Health,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
SS-007,พฤติกรรมบ าบัด,Behavioral therapy,Mental_Health,500,500,northeast,public,MoPH-ServiceRateSchedule-2022
SS-008,กลุ่มบ าบัดพื้นฐาน เช่น กลุ่มนันทนาการ กลุ่ม อ่านหนังสือ กลุ่มวาดภาพ กลุ่มเสริมแรงจูงใจ ฯลฯ ( โดยสหวิชาชีพ),"Basic therapy groups (e.g., recreation, reading, drawing, motivation) - multidisciplinary",Mental_Health,350,350,northeast,public,MoPH-ServiceRateSchedule-2022
SS-009,การส่งเสริมทักษะการด ารงชีวิต,Daily living skills promotion,Mental_Health,150,150,northeast,public,MoPH-ServiceRateSchedule-2022
SS-010,การส่งเสริมทักษะทางสังคมและทักษะพื้นฐาน การท างาน,Social skills and basic vocational skills promotion,Mental_Health,300,300,northeast,public,MoPH-ServiceRateSchedule-2022
SS-011,การบ าบัดด้วยการเล่น (Play for Therapy),Play therapy,Mental_Health,400,400,northeast,public,MoPH-ServiceRateSchedule-2022
