icd_code,diagnosis_name,procedure_type,min_days,max_days,typical_days,notes,source
R50,Fever of unknown origin,InPatient,3,14,7,Workup for persistent fever; varies by etiology,Thai-MoPH-Clinical-Guidelines
S06,Intracranial injury (concussion),InPatient,1,7,2,Observation for mild TBI; longer for moderate-severe,Thai-MoPH-Clinical-Guidelines
S72,Fracture of femur,InPatient,5,14,7,Surgical fixation + initial rehabilitation,Thai-MoPH-Clinical-Guidelines
T78.2,Anaphylaxis,InPatient,1,3,1,Observation after epinephrine; monitor for biphasic reaction,Thai-MoPH-Clinical-Guidelines
A02,Salmonella infection,InPatient,2,7,4,Moderate-severe gastroenteritis or bacteremia; IV fluids and antibiotics,Thai-MoPH-Clinical-Guidelines
A37,Whooping cough (pertussis),InPatient,3,7,5,Severe paroxysmal cough with complications; infants require monitoring,Thai-MoPH-Clinical-Guidelines
A41,Sepsis,InPatient,7,21,14,Systemic infection requiring ICU; IV antibiotics and hemodynamic support,Thai-MoPH-Clinical-Guidelines
A46,Erysipelas,InPatient,3,7,5,Acute skin infection with systemic signs; IV antibiotics then step-down,Thai-MoPH-Clinical-Guidelines
B00,Herpes simplex infection,OutPatient,0,0,0,Outpatient antiviral therapy; admission only for disseminated or encephalitis,Thai-MoPH-Clinical-Guidelines
B01,Varicella (chickenpox),OutPatient,0,0,0,Mild uncomplicated varicella managed as outpatient with antivirals,Thai-MoPH-Clinical-Guidelines
B01,Varicella (chickenpox) complicated,InPatient,3,5,4,Complicated varicella with pneumonia or encephalitis; IV acyclovir,Thai-MoPH-Clinical-Guidelines
B02,Herpes zoster,OutPatient,0,0,0,Uncomplicated shingles managed with oral antivirals as outpatient,Thai-MoPH-Clinical-Guidelines
B02,Herpes zoster complicated,InPatient,3,5,4,Disseminated zoster or ophthalmic involvement; IV antiviral therapy,Thai-MoPH-Clinical-Guidelines
B05,Measles,InPatient,3,7,5,Complicated measles with pneumonia or encephalitis; supportive care,Thai-MoPH-Clinical-Guidelines
B15,Hepatitis A acute,InPatient,3,7,5,Acute hepatitis with significant liver inflammation; supportive care,Thai-MoPH-Clinical-Guidelines
B16,Hepatitis B acute,InPatient,5,14,7,Acute hepatitis B with jaundice; monitor for fulminant hepatitis,Thai-MoPH-Clinical-Guidelines
B18,Chronic viral hepatitis,OutPatient,0,0,0,Long-term antiviral management as outpatient; regular monitoring,Thai-MoPH-Clinical-Guidelines
B37,Candidiasis,OutPatient,0,0,0,Superficial or mucosal candidiasis managed with antifungals as outpatient,Thai-MoPH-Clinical-Guidelines
C18,Malignant neoplasm of colon,InPatient,5,14,7,Surgical resection with or without chemotherapy; includes post-op recovery,Thai-MoPH-Cancer-Guidelines
C20,Malignant neoplasm of rectum,InPatient,5,14,7,Surgical resection; may include neoadjuvant chemoradiation; post-op recovery,Thai-MoPH-Cancer-Guidelines
C34,Malignant neoplasm of lung,InPatient,5,14,7,Lobectomy or pneumonectomy; post-op chest tube management and recovery,Thai-MoPH-Cancer-Guidelines
C50,Malignant neoplasm of breast,InPatient,2,5,3,Mastectomy or lumpectomy; sentinel node biopsy; drain management,Thai-MoPH-Cancer-Guidelines
C53,Malignant neoplasm of cervix,InPatient,3,10,7,Radical hysterectomy or chemoradiation; depends on staging,Thai-MoPH-Cancer-Guidelines
C56,Malignant neoplasm of ovary,InPatient,5,14,7,Debulking surgery and staging; chemotherapy initiation,Thai-MoPH-Cancer-Guidelines
C61,Malignant neoplasm of prostate,InPatient,3,7,5,Radical prostatectomy; catheter management post-op,Thai-MoPH-Cancer-Guidelines
C73,Malignant neoplasm of thyroid,InPatient,2,5,3,Thyroidectomy; monitor calcium levels post-op; short stay typical,Thai-MoPH-Cancer-Guidelines
D25,Leiomyoma of uterus (fibroids),InPatient,2,5,3,Myomectomy or hysterectomy for symptomatic fibroids,Thai-MoPH-Clinical-Guidelines
D50,Iron deficiency anemia,OutPatient,0,0,0,Mild-moderate anemia managed with oral iron supplementation as outpatient,Thai-MoPH-Clinical-Guidelines
D50,Iron deficiency anemia severe,InPatient,1,3,2,Severe anemia requiring IV iron or blood transfusion,Thai-MoPH-Clinical-Guidelines
D56,Thalassemia,InPatient,1,3,2,Transfusion-dependent thalassemia; regular blood transfusion and chelation,Thai-MoPH-Clinical-Guidelines
D57,Sickle cell disease,InPatient,3,7,5,Vaso-occlusive crisis management; pain control and hydration,Thai-MoPH-Clinical-Guidelines
D64,Other anemias,OutPatient,0,0,0,Mild anemia workup and management as outpatient,Thai-MoPH-Clinical-Guidelines
D64,Other anemias severe,InPatient,1,3,2,Severe anemia requiring transfusion or urgent workup,Thai-MoPH-Clinical-Guidelines
D69,Thrombocytopenia,InPatient,2,5,3,ITP or other causes; platelet monitoring and treatment,Thai-MoPH-Clinical-Guidelines
E03,Hypothyroidism,OutPatient,0,0,0,Thyroid hormone replacement as outpatient; regular monitoring,Thai-MoPH-NCD-Guidelines
E05,Hyperthyroidism,OutPatient,0,0,0,Antithyroid medication management as outpatient; regular monitoring,Thai-MoPH-NCD-Guidelines
E05,Hyperthyroidism thyroid storm,InPatient,3,7,5,Thyroid storm requiring ICU; IV beta-blockers and antithyroid drugs,Thai-MoPH-NCD-Guidelines
E16,Hypoglycemia,InPatient,1,3,2,Severe hypoglycemia requiring IV dextrose and observation,Thai-MoPH-NCD-Guidelines
E21,Hyperparathyroidism,InPatient,2,5,3,Parathyroidectomy for primary hyperparathyroidism; calcium monitoring,Thai-MoPH-Clinical-Guidelines
E22,Hyperpituitarism,InPatient,3,7,5,Transsphenoidal surgery for pituitary adenoma; hormonal monitoring,Thai-MoPH-Clinical-Guidelines
E27,Adrenal gland disorders,InPatient,3,7,5,Adrenal crisis management or adrenalectomy; steroid replacement,Thai-MoPH-Clinical-Guidelines
E66,Obesity,OutPatient,0,0,0,Lifestyle modification and weight management as outpatient,Thai-MoPH-NCD-Guidelines
E86,Volume depletion (dehydration),InPatient,1,3,2,IV fluid resuscitation; monitor electrolytes and urine output,Thai-MoPH-Clinical-Guidelines
E87,Electrolyte and fluid disorders,InPatient,2,5,3,Electrolyte correction (hyponatremia/hyperkalemia); cardiac monitoring,Thai-MoPH-Clinical-Guidelines
F10,Alcohol-related disorders,InPatient,3,14,7,Alcohol withdrawal management; benzodiazepine taper and monitoring,Thai-MoPH-Mental-Health-Guidelines
F20,Schizophrenia,InPatient,7,28,14,Acute psychotic episode stabilization; medication titration,Thai-MoPH-Mental-Health-Guidelines
F31,Bipolar disorder,InPatient,7,21,14,Acute manic or depressive episode; mood stabilizer initiation,Thai-MoPH-Mental-Health-Guidelines
F32,Depressive episode,OutPatient,0,0,0,Mild-moderate depression managed with medication and therapy as outpatient,Thai-MoPH-Mental-Health-Guidelines
F32,Depressive episode severe,InPatient,7,14,10,Severe depression with suicidal ideation; close observation and medication,Thai-MoPH-Mental-Health-Guidelines
F33,Recurrent depressive disorder,OutPatient,0,0,0,Long-term antidepressant management and psychotherapy as outpatient,Thai-MoPH-Mental-Health-Guidelines
F40,Phobic anxiety disorders,OutPatient,0,0,0,CBT and anxiolytic therapy as outpatient; no admission indicated,Thai-MoPH-Mental-Health-Guidelines
F41,Other anxiety disorders,OutPatient,0,0,0,Anxiolytic medication and therapy as outpatient; regular follow-up,Thai-MoPH-Mental-Health-Guidelines
F43,Reaction to severe stress and adjustment disorders,OutPatient,0,0,0,Outpatient counseling and PTSD therapy; admission for acute crisis only,Thai-MoPH-Mental-Health-Guidelines
G20,Parkinson disease,OutPatient,0,0,0,Chronic dopaminergic therapy as outpatient; regular neurologist follow-up,Thai-MoPH-Clinical-Guidelines
G20,Parkinson disease complications,InPatient,3,7,5,Acute complications (dyskinesia crisis or aspiration); medication adjustment,Thai-MoPH-Clinical-Guidelines
G35,Multiple sclerosis,InPatient,5,14,7,Acute relapse with IV methylprednisolone; rehabilitation therapy,Thai-MoPH-Clinical-Guidelines
G43,Migraine,OutPatient,0,0,0,Outpatient prophylaxis and acute treatment; regular neurology follow-up,Thai-MoPH-Clinical-Guidelines
G43,Migraine status migrainosus,InPatient,1,2,1,Intractable migraine requiring IV medications and observation,Thai-MoPH-Clinical-Guidelines
G47,Sleep disorders,OutPatient,0,0,0,Sleep study and outpatient management; CPAP for obstructive sleep apnea,Thai-MoPH-Clinical-Guidelines
G56,Carpal tunnel syndrome,InPatient,1,2,1,Carpal tunnel release surgery; day surgery or 1-night stay,Thai-MoPH-Clinical-Guidelines
G62,Polyneuropathy,OutPatient,0,0,0,Outpatient workup and neuropathic pain management,Thai-MoPH-Clinical-Guidelines
G62,Polyneuropathy acute,InPatient,3,5,4,Acute inflammatory polyneuropathy (GBS spectrum); IVIG or plasmapheresis,Thai-MoPH-Clinical-Guidelines
H10,Conjunctivitis,OutPatient,0,0,0,Topical antibiotics or antivirals as outpatient; no admission indicated,Thai-MoPH-Clinical-Guidelines
H25,Senile cataract,InPatient,1,1,1,Phacoemulsification day surgery; same-day or 1-night observation,Thai-MoPH-Clinical-Guidelines
H26,Other cataract,InPatient,1,1,1,Cataract extraction; day surgery with brief post-op observation,Thai-MoPH-Clinical-Guidelines
H40,Glaucoma,OutPatient,0,0,0,Topical IOP-lowering therapy as outpatient; regular monitoring,Thai-MoPH-Clinical-Guidelines
H40,Glaucoma surgical,InPatient,1,2,1,Trabeculectomy or glaucoma drainage device; post-op IOP monitoring,Thai-MoPH-Clinical-Guidelines
H60,Otitis externa,OutPatient,0,0,0,Topical antibiotic/antifungal ear drops as outpatient,Thai-MoPH-Clinical-Guidelines
H66,Suppurative otitis media,OutPatient,0,0,0,Oral antibiotics as outpatient for uncomplicated acute otitis media,Thai-MoPH-Clinical-Guidelines
H66,Suppurative otitis media complicated,InPatient,2,3,2,Complicated otitis media with mastoiditis; IV antibiotics and possible surgery,Thai-MoPH-Clinical-Guidelines
I26,Pulmonary embolism,InPatient,5,14,7,Anticoagulation; hemodynamic monitoring; thrombolysis for massive PE,Thai-MoPH-Clinical-Guidelines
I42,Cardiomyopathy,InPatient,5,14,7,Acute heart failure from cardiomyopathy; diuretics and hemodynamic support,Thai-MoPH-Clinical-Guidelines
I70,Atherosclerosis,OutPatient,0,0,0,Risk factor management and antiplatelet therapy as outpatient,Thai-MoPH-NCD-Guidelines
I70,Atherosclerosis with intervention,InPatient,3,7,5,Peripheral vascular intervention or bypass surgery; post-op monitoring,Thai-MoPH-Clinical-Guidelines
I73,Peripheral vascular disease,InPatient,3,7,5,Critical limb ischemia; revascularization or wound care management,Thai-MoPH-Clinical-Guidelines
I80,Deep vein thrombosis,InPatient,3,7,5,Anticoagulation initiation; Doppler monitoring; PE risk assessment,Thai-MoPH-Clinical-Guidelines
I83,Varicose veins of lower extremities,InPatient,1,2,1,Vein stripping or endovenous ablation; day surgery or 1-night stay,Thai-MoPH-Clinical-Guidelines
I84,Hemorrhoids,OutPatient,0,0,0,Conservative management with topical therapy and dietary modification,Thai-MoPH-Clinical-Guidelines
I84,Hemorrhoids surgical,InPatient,1,2,1,Hemorrhoidectomy for Grade III-IV; post-op pain management,Thai-MoPH-Clinical-Guidelines
J01,Acute sinusitis,OutPatient,0,0,0,Oral antibiotics and decongestants as outpatient; no admission indicated,Thai-MoPH-Clinical-Guidelines
J02,Acute pharyngitis,OutPatient,0,0,0,Oral antibiotics for streptococcal; symptomatic care as outpatient,Thai-MoPH-Clinical-Guidelines
J03,Acute tonsillitis,OutPatient,0,0,0,Oral antibiotics and analgesics as outpatient for uncomplicated cases,Thai-MoPH-Clinical-Guidelines
J03,Acute tonsillitis with peritonsillar abscess,InPatient,1,2,2,Peritonsillar abscess drainage; IV antibiotics and observation,Thai-MoPH-Clinical-Guidelines
J10,Influenza due to identified virus,OutPatient,0,0,0,Oseltamivir and supportive care as outpatient for uncomplicated cases,Thai-MoPH-Clinical-Guidelines
J10,Influenza due to identified virus complicated,InPatient,2,5,3,Influenza pneumonia or complications; IV antivirals and supportive care,Thai-MoPH-Clinical-Guidelines
J11,Influenza virus not identified,OutPatient,0,0,0,Empiric antiviral therapy and supportive care as outpatient,Thai-MoPH-Clinical-Guidelines
J11,Influenza virus not identified complicated,InPatient,2,5,3,Suspected influenza with pneumonia; IV antivirals and monitoring,Thai-MoPH-Clinical-Guidelines
J20,Acute bronchitis,OutPatient,0,0,0,Symptomatic treatment with bronchodilators as outpatient,Thai-MoPH-Clinical-Guidelines
J21,Acute bronchiolitis,InPatient,2,5,3,Pediatric bronchiolitis; oxygen support and fluid management,Thai-MoPH-Clinical-Guidelines
J22,Unspecified acute lower respiratory infection,InPatient,3,7,5,Lower respiratory infection requiring IV antibiotics and oxygen,Thai-MoPH-Clinical-Guidelines
J47,Bronchiectasis,InPatient,3,10,5,Acute infective exacerbation; IV antibiotics and chest physiotherapy,Thai-MoPH-Clinical-Guidelines
J84,Interstitial lung disease,InPatient,5,14,7,Acute exacerbation of ILD; high-dose steroids and oxygen support,Thai-MoPH-Clinical-Guidelines
K04,Diseases of pulp and periapical tissues,OutPatient,0,0,0,Dental treatment and antibiotics as outpatient; root canal therapy,Thai-MoPH-Clinical-Guidelines
K20,Esophagitis,OutPatient,0,0,0,PPI therapy and dietary modification as outpatient,Thai-MoPH-Clinical-Guidelines
K26,Duodenal ulcer,InPatient,2,7,3,Bleeding or perforated duodenal ulcer; endoscopic or surgical management,Thai-MoPH-Clinical-Guidelines
K27,Peptic ulcer site unspecified,InPatient,2,7,3,Complicated peptic ulcer with bleeding; endoscopy and PPI therapy,Thai-MoPH-Clinical-Guidelines
K29,Gastritis and duodenitis,OutPatient,0,0,0,PPI and H. pylori eradication as outpatient for uncomplicated cases,Thai-MoPH-Clinical-Guidelines
K29,Gastritis and duodenitis with bleeding,InPatient,1,3,2,Upper GI bleeding from erosive gastritis; endoscopy and IV PPI,Thai-MoPH-Clinical-Guidelines
K50,Crohn disease,InPatient,3,10,5,Acute flare with obstruction or fistula; IV steroids and biologics,Thai-MoPH-Clinical-Guidelines
K51,Ulcerative colitis,InPatient,3,10,5,Acute severe colitis; IV steroids and monitoring for toxic megacolon,Thai-MoPH-Clinical-Guidelines
K56,Intestinal obstruction,InPatient,3,10,5,Adhesive or mechanical obstruction; NG decompression or surgery,Thai-MoPH-Clinical-Guidelines
K57,Diverticular disease,InPatient,3,7,5,Acute diverticulitis with abscess or perforation; IV antibiotics,Thai-MoPH-Clinical-Guidelines
K70,Alcoholic liver disease,InPatient,5,14,7,Alcoholic hepatitis or decompensated cirrhosis; supportive care,Thai-MoPH-Clinical-Guidelines
K74,Fibrosis and cirrhosis of liver,InPatient,5,14,7,Decompensated cirrhosis with ascites or variceal bleeding,Thai-MoPH-Clinical-Guidelines
K85,Acute pancreatitis,InPatient,5,14,7,Severe pancreatitis; NPO with IV fluids; monitor for necrosis,Thai-MoPH-Clinical-Guidelines
K86,Other diseases of pancreas,InPatient,3,7,5,Chronic pancreatitis exacerbation; pain management and nutrition support,Thai-MoPH-Clinical-Guidelines
L01,Impetigo,OutPatient,0,0,0,Topical or oral antibiotics as outpatient; wound care education,Thai-MoPH-Clinical-Guidelines
L02,Cutaneous abscess,OutPatient,0,0,0,Incision and drainage as outpatient for small uncomplicated abscess,Thai-MoPH-Clinical-Guidelines
L02,Cutaneous abscess large or complicated,InPatient,1,3,2,Large abscess requiring surgical drainage; IV antibiotics and wound care,Thai-MoPH-Clinical-Guidelines
L08,Other local infections of skin,OutPatient,0,0,0,Topical and oral antibiotics as outpatient; wound care,Thai-MoPH-Clinical-Guidelines
L20,Atopic dermatitis,OutPatient,0,0,0,Topical steroids and emollients as outpatient; allergy management,Thai-MoPH-Clinical-Guidelines
L30,Other dermatitis,OutPatient,0,0,0,Topical therapy and avoidance of triggers as outpatient,Thai-MoPH-Clinical-Guidelines
L40,Psoriasis,OutPatient,0,0,0,Topical therapy or systemic immunomodulators as outpatient,Thai-MoPH-Clinical-Guidelines
L50,Urticaria,OutPatient,0,0,0,Antihistamines as outpatient for mild-moderate urticaria,Thai-MoPH-Clinical-Guidelines
L50,Urticaria severe with angioedema,InPatient,1,1,1,Severe urticaria with angioedema; IV steroids and observation,Thai-MoPH-Clinical-Guidelines
L70,Acne,OutPatient,0,0,0,Topical and oral therapy as outpatient; dermatology follow-up,Thai-MoPH-Clinical-Guidelines
M05,Rheumatoid arthritis seropositive,OutPatient,0,0,0,DMARD therapy and regular monitoring as outpatient,Thai-MoPH-Clinical-Guidelines
M05,Rheumatoid arthritis seropositive flare,InPatient,3,7,5,Acute flare with joint inflammation; IV steroids and DMARD adjustment,Thai-MoPH-Clinical-Guidelines
M06,Other rheumatoid arthritis,OutPatient,0,0,0,DMARD and anti-inflammatory therapy as outpatient; regular monitoring,Thai-MoPH-Clinical-Guidelines
M10,Gout,OutPatient,0,0,0,Acute gout treated with colchicine or NSAIDs as outpatient,Thai-MoPH-Clinical-Guidelines
M10,Gout severe polyarticular,InPatient,1,3,2,Severe polyarticular gout flare; IV colchicine or steroids; renal monitoring,Thai-MoPH-Clinical-Guidelines
M13,Other arthritis,OutPatient,0,0,0,Anti-inflammatory therapy and joint care as outpatient,Thai-MoPH-Clinical-Guidelines
M16,Coxarthrosis (hip OA),InPatient,5,10,7,Total hip replacement; post-op rehabilitation and DVT prophylaxis,Thai-MoPH-Clinical-Guidelines
M19,Other arthrosis,OutPatient,0,0,0,Conservative management with NSAIDs and physiotherapy as outpatient,Thai-MoPH-Clinical-Guidelines
M23,Internal derangement of knee,InPatient,1,3,2,Arthroscopic meniscectomy or ligament repair; post-op rehabilitation,Thai-MoPH-Clinical-Guidelines
M47,Spondylosis,OutPatient,0,0,0,Conservative management with physiotherapy and analgesics as outpatient,Thai-MoPH-Clinical-Guidelines
M50,Cervical disc disorders,InPatient,2,5,3,Anterior cervical discectomy and fusion; post-op neurological monitoring,Thai-MoPH-Clinical-Guidelines
M51,Thoracic and lumbar disc disorders,InPatient,2,7,4,Discectomy or laminectomy for herniated disc; post-op mobilization,Thai-MoPH-Clinical-Guidelines
M75,Shoulder lesions,OutPatient,0,0,0,Physiotherapy and injection therapy as outpatient; rotator cuff management,Thai-MoPH-Clinical-Guidelines
M79,Other soft tissue disorders,OutPatient,0,0,0,Conservative management with analgesics and physiotherapy as outpatient,Thai-MoPH-Clinical-Guidelines
N10,Acute pyelonephritis,InPatient,3,7,5,IV antibiotics for severe pyelonephritis; urine culture-guided therapy,Thai-MoPH-Clinical-Guidelines
N20,Calculus of kidney,InPatient,2,5,3,ESWL or ureteroscopy for renal calculi; post-procedure stent management,Thai-MoPH-Clinical-Guidelines
N40,Benign prostatic hyperplasia,InPatient,2,5,3,TURP or laser prostatectomy; catheter management post-op,Thai-MoPH-Clinical-Guidelines
N41,Inflammatory diseases of prostate,OutPatient,0,0,0,Oral antibiotics for mild-moderate prostatitis as outpatient,Thai-MoPH-Clinical-Guidelines
N41,Inflammatory diseases of prostate severe,InPatient,3,5,4,Severe acute prostatitis with abscess; IV antibiotics and possible drainage,Thai-MoPH-Clinical-Guidelines
N70,Salpingitis and oophoritis,InPatient,3,7,5,Pelvic inflammatory disease; IV antibiotics and monitoring for abscess,Thai-MoPH-Clinical-Guidelines
N72,Inflammatory disease of cervix,OutPatient,0,0,0,Oral antibiotics and follow-up as outpatient; STI screening,Thai-MoPH-Clinical-Guidelines
N76,Inflammation of vagina,OutPatient,0,0,0,Topical or oral antifungal/antibiotic therapy as outpatient,Thai-MoPH-Clinical-Guidelines
N80,Endometriosis,InPatient,2,5,3,Laparoscopic excision of endometriosis; post-op hormonal therapy,Thai-MoPH-Clinical-Guidelines
N81,Female genital prolapse,InPatient,3,7,5,Pelvic organ prolapse repair surgery; post-op catheter and mobilization,Thai-MoPH-Clinical-Guidelines
N92,Excessive and frequent menstruation,OutPatient,0,0,0,Hormonal therapy and workup as outpatient for mild-moderate cases,Thai-MoPH-Clinical-Guidelines
N92,Excessive menstruation with severe anemia,InPatient,1,3,2,Severe menorrhagia requiring transfusion or surgical intervention,Thai-MoPH-Clinical-Guidelines
O10,Pre-existing hypertension complicating pregnancy,InPatient,3,7,5,BP control and fetal monitoring; may require early delivery,Thai-MoPH-Obstetric-Guidelines
O14,Pre-eclampsia,InPatient,3,7,5,Magnesium sulfate and BP control; monitoring for progression to eclampsia,Thai-MoPH-Obstetric-Guidelines
O24,Gestational diabetes mellitus,OutPatient,0,0,0,Dietary management and glucose monitoring as outpatient for well-controlled GDM,Thai-MoPH-Obstetric-Guidelines
O24,Gestational diabetes mellitus uncontrolled,InPatient,2,5,3,Insulin initiation and glucose optimization; fetal monitoring,Thai-MoPH-Obstetric-Guidelines
O42,Premature rupture of membranes,InPatient,2,7,4,Expectant management with antibiotics and steroids; monitor for infection,Thai-MoPH-Obstetric-Guidelines
O47,False labor,InPatient,1,1,1,Observation and tocolysis assessment; discharge if not in true labor,Thai-MoPH-Obstetric-Guidelines
O60,Preterm labor,InPatient,3,14,7,Tocolysis and antenatal corticosteroids; fetal monitoring until delivery,Thai-MoPH-Obstetric-Guidelines
O99,Other maternal diseases complicating pregnancy,InPatient,3,7,5,Management of concurrent medical conditions during pregnancy,Thai-MoPH-Obstetric-Guidelines
P07,Disorders related to short gestation and low birth weight,InPatient,7,60,21,NICU care for preterm neonates; respiratory support and feeding,Thai-MoPH-Neonatal-Guidelines
P22,Respiratory distress of newborn,InPatient,7,28,14,Surfactant therapy and ventilatory support in NICU; monitoring,Thai-MoPH-Neonatal-Guidelines
P36,Bacterial sepsis of newborn,InPatient,7,21,14,IV antibiotics; NICU monitoring for hemodynamic instability,Thai-MoPH-Neonatal-Guidelines
P59,Neonatal jaundice,InPatient,2,5,3,Phototherapy; monitor bilirubin levels; exchange transfusion if severe,Thai-MoPH-Neonatal-Guidelines
S00,Superficial injury of head,OutPatient,0,0,0,Wound care and observation as outpatient; concussion assessment,Thai-MoPH-Clinical-Guidelines
S02,Fracture of skull and facial bones,InPatient,3,10,5,Surgical fixation of facial fractures; neurosurgical monitoring for skull fractures,Thai-MoPH-Clinical-Guidelines
S22,Fracture of rib(s) and sternum,OutPatient,0,0,0,Uncomplicated rib fracture managed with analgesia as outpatient,Thai-MoPH-Clinical-Guidelines
S22,Fracture of rib(s) multiple or with flail chest,InPatient,2,5,3,Multiple rib fractures or flail chest; pain management and respiratory monitoring,Thai-MoPH-Clinical-Guidelines
S42,Fracture of shoulder and upper arm,InPatient,2,5,3,Surgical fixation (ORIF) of proximal humerus fracture; post-op rehabilitation,Thai-MoPH-Clinical-Guidelines
S52,Fracture of forearm,InPatient,1,3,2,Closed reduction and casting or ORIF for displaced fractures,Thai-MoPH-Clinical-Guidelines
S62,Fracture of wrist and hand,OutPatient,0,0,0,Uncomplicated hand fracture with closed reduction and splinting as outpatient,Thai-MoPH-Clinical-Guidelines
S62,Fracture of wrist and hand requiring fixation,InPatient,1,2,1,Surgical fixation of complex hand/wrist fracture; post-op hand therapy,Thai-MoPH-Clinical-Guidelines
S82,Fracture of lower leg including ankle,InPatient,3,7,5,ORIF of tibial or ankle fracture; post-op DVT prophylaxis and rehabilitation,Thai-MoPH-Clinical-Guidelines
