icd_code,diagnosis_group,expected_drug_classes,red_flag_drugs,max_drug_count,notes
E11,type_2_diabetes,metformin;sulfonylureas(glipizide_or_gliclazide);DPP4_inhibitors;SGLT2_inhibitors;GLP1_agonists;insulin(if_uncontrolled);statins;ACE_inhibitors,thiazolidinediones(if_heart_failure);excessive_sulfonylurea_doses,10,Thai_NLEM_covers_metformin_and_sulfonylureas;step_up_approach_per_Thai_guidelines
E11.6,type_2_diabetes_with_complications,metformin;SGLT2_inhibitors;GLP1_agonists;insulin;ACE_inhibitors;ARBs;statins;antiplatelet(aspirin),thiazolidinediones(heart_failure);NSAIDs(renal_risk),10,Thai_DM_complication_screening_annual;SGLT2i_for_cardiorenal_protection
E78,dyslipidemia,statins(atorvastatin_or_simvastatin);ezetimibe;fibrates(fenofibrate);omega3_fatty_acids;PCSK9_inhibitors(severe_FH),high_dose_statins_without_monitoring;gemfibrozil_with_statins,4,Thai_lipid_guidelines;statin_intensity_by_CV_risk;LFT_monitoring
I10,essential_hypertension,ACE_inhibitors(enalapril_or_ramipril);ARBs(losartan_or_valsartan);CCBs(amlodipine);thiazide_diuretics(HCTZ);beta_blockers(if_compelling_indication),ACEi_plus_ARB_combination;aliskiren_with_ACEi_or_ARB,5,Thai_Hypertension_Society_guidelines;target_below_140_90_or_130_80_if_high_risk
I11,hypertensive_heart_disease,ACE_inhibitors;ARBs;beta_blockers;diuretics(loop_or_thiazide);MRAs(spironolactone);CCBs,NSAIDs;verapamil_with_beta_blockers;high_dose_diuretics_without_K_monitoring,6,Thai_HF_guidelines_aligned_with_ESC;monitor_renal_function_and_electrolytes
I20,angina_pectoris,nitrates(isosorbide_mononitrate);beta_blockers;CCBs(amlodipine_or_diltiazem);antiplatelet(aspirin);statins;ACE_inhibitors,PDE5_inhibitors_with_nitrates;NSAIDs(CV_risk),7,Thai_Heart_Association_guidelines;dual_antiplatelet_if_recent_ACS
I21,acute_myocardial_infarction,antiplatelet(aspirin_plus_clopidogrel_or_ticagrelor);anticoagulant(heparin_or_enoxaparin);statins(high_dose);beta_blockers;ACE_inhibitors;morphine(pain);oxygen(if_hypoxic),NSAIDs;thrombolytics_with_anticoagulants_without_protocol;excessive_morphine,10,Thai_ACS_guidelines;PCI_preferred_if_available;thrombolysis_if_PCI_not_within_120min
I25,chronic_ischemic_heart_disease,antiplatelet(aspirin);statins;ACE_inhibitors;beta_blockers;nitrates(PRN);CCBs,NSAIDs(CV_risk);dual_antiplatelet_beyond_12_months(without_indication),6,long_term_secondary_prevention_per_Thai_Heart_Association
I48,atrial_fibrillation,anticoagulants(warfarin_or_DOACs);rate_control(beta_blockers_or_diltiazem_or_digoxin);rhythm_control(amiodarone_or_flecainide),aspirin_monotherapy_for_stroke_prevention;triple_therapy_prolonged,6,Thai_AF_guidelines;CHA2DS2_VASc_for_anticoagulation;INR_2_to_3_for_warfarin
I50,heart_failure,ACE_inhibitors;ARBs;beta_blockers(carvedilol_or_bisoprolol);MRAs(spironolactone);loop_diuretics(furosemide);SGLT2_inhibitors;ARNI(sacubitril_valsartan),NSAIDs;thiazolidinediones;non_DHP_CCBs(verapamil_diltiazem_in_HFrEF),8,Thai_HF_guidelines;SGLT2i_added_as_pillar_therapy;NT_proBNP_monitoring
I63,cerebral_infarction,antiplatelet(aspirin_or_clopidogrel);statins(high_dose);antihypertensives;thrombolytics(alteplase_if_within_4.5h);anticoagulants(if_cardioembolic),dual_antiplatelet_long_term;excessive_BP_lowering_acute_phase,8,Thai_stroke_network_protocol;CT_before_thrombolysis;rehab_early_initiation
J06,acute_upper_respiratory_infection,antipyretics(paracetamol);antihistamines;decongestants(pseudoephedrine);cough_suppressants(dextromethorphan);throat_lozenges,antibiotics(unless_bacterial_superinfection);codeine(in_children),5,Thai_antibiotic_stewardship_program;ABx_not_indicated_for_viral_URI
J18,pneumonia_unspecified,antibiotics(amoxicillin_or_amox_clav_or_macrolides_or_cephalosporins);antipyretics(paracetamol);bronchodilators(if_wheezing);oxygen(if_hypoxic);IV_fluids,fluoroquinolones_as_first_line(unless_severe);aminoglycosides_monotherapy,7,Thai_CPG_for_CAP;amoxicillin_first_line_outpatient;ceftriaxone_plus_azithromycin_inpatient
J44,COPD,inhaled_bronchodilators(LABA_LAMA);inhaled_corticosteroids(if_frequent_exacerbations);SABA(salbutamol_PRN);systemic_steroids(acute_exacerbation);antibiotics(if_infectious_exacerbation);oxygen_therapy,theophylline(narrow_therapeutic_index);sedatives;high_dose_ICS_without_indication,8,Thai_COPD_guidelines_aligned_with_GOLD;smoking_cessation_critical;pulmonary_rehab
J45,asthma,inhaled_corticosteroids(budesonide_or_fluticasone);LABA(formoterol_or_salmeterol);SABA(salbutamol_PRN);leukotriene_antagonists(montelukast);oral_steroids(acute_severe),beta_blockers(non_selective);aspirin(if_aspirin_sensitive);sedatives_during_exacerbation,6,Thai_Asthma_Council_guidelines;step_wise_approach;ICS_first_line_controller
J96,respiratory_failure,oxygen_therapy;bronchodilators;IV_steroids;antibiotics(if_infection);sedation(for_intubation);vasopressors(if_shock),excessive_sedation;nephrotoxic_agents_without_monitoring,8,ICU_management_per_Thai_critical_care_guidelines
K21,gastroesophageal_reflux,proton_pump_inhibitors(omeprazole_or_esomeprazole);H2_blockers(ranitidine_or_famotidine);antacids;prokinetics(domperidone),long_term_PPI_without_review;clopidogrel_with_omeprazole(interaction),4,Thai_GI_society_guidelines;PPI_step_down_after_8_weeks;lifestyle_modification
K25,gastric_ulcer,proton_pump_inhibitors;H_pylori_eradication(clarithromycin_amoxicillin_PPI);antacids;sucralfate;bismuth_subsalicylate,NSAIDs;aspirin(unless_cardioprotective_with_PPI_cover);corticosteroids,6,H_pylori_prevalence_high_in_Thailand;CLO_test_or_urea_breath_test
K35,acute_appendicitis,antibiotics(ceftriaxone_plus_metronidazole);analgesics(paracetamol_or_opioids);IV_fluids;antiemetics,NSAIDs(pre_operative_bleeding_risk);excessive_opioids,6,surgical_management_primary;Thai_surgical_society_guidelines;laparoscopic_preferred
K80,cholelithiasis,analgesics(NSAIDs_or_opioids);antispasmodics(hyoscine);antibiotics(if_cholecystitis_ceftriaxone_plus_metronidazole);IV_fluids;antiemetics,excessive_opioid_use;bile_acid_dissolution_without_indication,6,cholecystectomy_definitive_treatment;ERCP_if_CBD_stones;Thai_surgical_CPG
L03,cellulitis,antibiotics(dicloxacillin_or_cloxacillin_or_amox_clav_or_cephalexin);analgesics(paracetamol);wound_care;IV_antibiotics(severe_clindamycin_or_ceftriaxone),fluoroquinolones_as_first_line;prolonged_antibiotics_without_review,4,common_tropical_presentation;MRSA_coverage_if_risk_factors;Thai_ID_society_guidelines
M54,dorsalgia_back_pain,analgesics(paracetamol);NSAIDs(short_course);muscle_relaxants(orphenadrine_or_tizanidine);physical_therapy;topical_analgesics,opioids_as_first_line;prolonged_NSAIDs;benzodiazepines_long_term,5,Thai_rehabilitation_guidelines;red_flags_screening;avoid_prolonged_bed_rest
N18,chronic_kidney_disease,ACE_inhibitors_or_ARBs(renoprotective);SGLT2_inhibitors;diuretics;erythropoietin(if_anemia);phosphate_binders;calcium_and_vitamin_D;sodium_bicarbonate,NSAIDs;metformin(if_eGFR_below_30);nephrotoxic_agents;excessive_potassium,10,Thai_Nephrology_Society_guidelines;dose_adjust_renally_cleared_drugs;CKD_MBD_management
N39.0,urinary_tract_infection,antibiotics(nitrofurantoin_or_TMP_SMX_or_fosfomycin_or_cephalexin);analgesics(paracetamol);phenazopyridine(symptom_relief),fluoroquinolones_as_first_line_uncomplicated;prolonged_antibiotics_without_culture,4,Thai_antibiotic_stewardship;local_resistance_patterns_guide_choice;urine_culture_if_recurrent
O80,single_spontaneous_delivery,oxytocin(postpartum);analgesics(paracetamol);iron_supplementation;antibiotics(if_indicated_for_GBS_or_PROM),NSAIDs(avoid_pre_delivery);ergot_alkaloids(if_hypertensive),5,Thai_MOPH_safe_motherhood_protocol;active_management_third_stage
O82,delivery_by_cesarean,antibiotics(cefazolin_prophylaxis);analgesics(paracetamol_plus_NSAIDs_or_tramadol);oxytocin;thromboprophylaxis(enoxaparin_if_risk);IV_fluids,excessive_opioids_postpartum;prolonged_antibiotic_prophylaxis,7,Thai_RTCOG_guidelines;single_dose_antibiotic_prophylaxis;enhanced_recovery_protocol
O03,spontaneous_abortion,misoprostol;oxytocin;analgesics(paracetamol_or_NSAIDs);antibiotics(if_septic);IV_fluids;iron_supplementation,ergot_alkaloids(without_monitoring);excessive_uterotonic_agents,6,Thai_RTCOG_miscarriage_guidelines;anti_D_if_Rh_negative;counseling_required
R50,fever_of_unknown_origin,antipyretics(paracetamol);IV_fluids;empiric_antibiotics(if_sepsis_suspected);blood_culture_guided_therapy,empiric_broad_spectrum_without_cultures;NSAIDs_in_dengue_endemic_season,5,consider_tropical_infections_in_Thailand;dengue_leptospirosis_scrub_typhus_melioidosis
S72,fracture_of_femur,analgesics(opioids_and_paracetamol);thromboprophylaxis(enoxaparin);antibiotics(surgical_prophylaxis_cefazolin);calcium_and_vitamin_D;IV_fluids,NSAIDs(bone_healing_concern);excessive_opioids_prolonged,7,Thai_orthopedic_guidelines;early_surgical_fixation;DVT_prophylaxis_mandatory
T78.4,allergy_unspecified,antihistamines(cetirizine_or_loratadine);epinephrine(if_anaphylaxis);corticosteroids(prednisolone);bronchodilators(if_wheezing);IV_fluids(if_shock),sedating_antihistamines_as_first_line;beta_blockers(mask_anaphylaxis_signs),5,Thai_allergy_society_guidelines;epinephrine_autoinjector_availability_limited;observe_post_anaphylaxis
A02,salmonellosis,oral_rehydration_salts;IV_fluids;antibiotics(ciprofloxacin_or_ceftriaxone_if_invasive);antipyretics(paracetamol);electrolyte_replacement,antibiotics_for_uncomplicated_gastroenteritis;antidiarrheals(loperamide),5,Thai_ID_society_guidelines;antibiotics_only_for_invasive_or_bacteremia;culture_and_sensitivity_required
A37,whooping_cough,macrolides(azithromycin_or_erythromycin_or_clarithromycin);supportive_care;oxygen(if_hypoxic);IV_fluids(if_dehydrated),cough_suppressants(ineffective);corticosteroids(unproven_benefit),4,Thai_EPI_guidelines;post_exposure_prophylaxis_for_contacts;notify_DDC
A41,sepsis,broad_spectrum_antibiotics(piperacillin_tazobactam_or_meropenem);IV_crystalloids;vasopressors(norepinephrine);corticosteroids(hydrocortisone_if_refractory_shock);antipyretics(paracetamol);insulin(glycemic_control),delayed_antibiotics;nephrotoxic_agents_without_monitoring;excessive_fluid_without_reassessment,10,Thai_SSC_adapted_guidelines;blood_cultures_before_antibiotics;lactate_guided_resuscitation;1_hour_bundle
A46,erysipelas,antibiotics(penicillin_V_or_amoxicillin_or_cloxacillin);analgesics(paracetamol);IV_antibiotics(severe_benzylpenicillin_or_ceftriaxone),fluoroquinolones_as_first_line;prolonged_antibiotics_without_review,4,Thai_ID_society_guidelines;penicillin_first_line;elevate_affected_limb;recurrence_prophylaxis_if_frequent
B00,herpes_simplex,antivirals(acyclovir_or_valacyclovir);analgesics(paracetamol);topical_antivirals(acyclovir_cream);topical_anesthetics(lidocaine),antibiotics(unless_secondary_bacterial_infection);corticosteroids(for_ocular_HSV_without_antiviral_cover),4,Thai_dermatology_guidelines;oral_antivirals_within_72h_of_onset;suppressive_therapy_if_frequent_recurrence
B01,varicella,antivirals(acyclovir_if_indicated);antipyretics(paracetamol);antihistamines(for_pruritus);calamine_lotion;antibiotics(if_secondary_infection),aspirin(Reye_syndrome_risk);corticosteroids(unless_immunocompromised_with_antiviral);NSAIDs,5,Thai_EPI_guidelines;acyclovir_for_adolescents_adults_immunocompromised;varicella_vaccine_post_exposure_within_5_days
B02,herpes_zoster,antivirals(acyclovir_or_valacyclovir_or_famciclovir);analgesics(paracetamol_or_NSAIDs);neuropathic_pain_agents(gabapentin_or_pregabalin_or_amitriptyline);topical_lidocaine;corticosteroids(short_course_if_severe),opioids_as_first_line;antibiotics(unless_secondary_infection),6,Thai_dermatology_and_neurology_guidelines;antivirals_within_72h;PHN_prevention;zoster_vaccine_for_elderly
B05,measles,supportive_care;antipyretics(paracetamol);vitamin_A_supplementation;oral_rehydration;antibiotics(if_secondary_bacterial_infection),antivirals(not_indicated);corticosteroids(unless_encephalitis),5,Thai_MOPH_EPI_guidelines;mandatory_notification;vitamin_A_reduces_mortality;isolation_required
B15,hepatitis_A,supportive_care;antiemetics(ondansetron);oral_rehydration;antipyretics(paracetamol_low_dose);IV_fluids(if_dehydrated),hepatotoxic_drugs;paracetamol_high_dose;alcohol,4,Thai_MOPH_hepatitis_guidelines;no_specific_antiviral;monitor_LFTs;HAV_vaccine_for_contacts
B16,hepatitis_B_acute,supportive_care;antiemetics;antipyretics(paracetamol_low_dose);IV_fluids(if_needed);antivirals(entecavir_or_tenofovir_if_severe_or_fulminant),hepatotoxic_drugs;immunosuppressants;paracetamol_high_dose,5,Thai_hepatology_guidelines;monitor_for_fulminant_hepatitis;HBV_serology_follow_up;notify_DDC
B18,chronic_viral_hepatitis,antivirals(entecavir_or_tenofovir_for_HBV;sofosbuvir_based_for_HCV);hepatoprotectives;lactulose(if_encephalopathy);diuretics(if_ascites),hepatotoxic_drugs;immunosuppressants_without_antiviral_cover;NSAIDs(if_cirrhotic),6,Thai_AASLD_adapted_hepatitis_guidelines;HCC_screening_every_6_months;NHSO_covers_DAA_for_HCV
B37,candidiasis,antifungals(fluconazole_or_clotrimazole_or_nystatin);topical_antifungals(miconazole_or_ketoconazole);echinocandins(caspofungin_if_invasive);amphotericin_B(severe_systemic),prolonged_azoles_without_LFT_monitoring;azole_drug_interactions(warfarin_statins),5,Thai_ID_society_guidelines;fluconazole_first_line_for_mucosal;echinocandins_for_candidemia;species_identification_important
C18,colon_cancer,chemotherapy(5FU_leucovorin_oxaliplatin_FOLFOX);targeted_therapy(bevacizumab_cetuximab);analgesics;antiemetics(ondansetron_dexamethasone);colony_stimulating_factors(G_CSF),nephrotoxic_agents_during_chemo;live_vaccines_during_immunosuppression,8,Thai_NCCN_adapted_oncology_guidelines;CEA_monitoring;staging_guides_treatment;NHSO_covers_essential_chemo
C20,rectal_cancer,chemotherapy(5FU_leucovorin_oxaliplatin);radiation_therapy;targeted_therapy(bevacizumab);analgesics;antiemetics;neoadjuvant_chemoradiation,nephrotoxic_agents_during_chemo;live_vaccines_during_immunosuppression,8,Thai_colorectal_cancer_guidelines;neoadjuvant_chemoRT_for_locally_advanced;TME_surgical_standard
C34,lung_cancer,chemotherapy(platinum_based_carboplatin_or_cisplatin);targeted_therapy(gefitinib_erlotinib_if_EGFR_positive);immunotherapy(pembrolizumab_if_PD_L1_positive);analgesics;antiemetics;dexamethasone,nephrotoxic_agents_with_cisplatin;live_vaccines;interacting_CYP3A4_drugs_with_TKIs,10,Thai_oncology_guidelines;EGFR_mutation_testing_mandatory;PD_L1_testing;palliative_care_integration
C50,breast_cancer,chemotherapy(AC_TC_regimens);hormonal_therapy(tamoxifen_or_aromatase_inhibitors);targeted_therapy(trastuzumab_if_HER2_positive);analgesics;antiemetics;bisphosphonates(if_bone_mets),HRT_with_ER_positive;live_vaccines_during_chemo;CYP2D6_inhibitors_with_tamoxifen,10,Thai_breast_cancer_guidelines;receptor_testing(ER_PR_HER2)_mandatory;NHSO_covers_trastuzumab;mammography_screening
C53,cervical_cancer,chemotherapy(cisplatin_based);radiation_therapy;analgesics;antiemetics;colony_stimulating_factors;brachytherapy,nephrotoxic_agents_with_cisplatin;live_vaccines_during_chemo,8,Thai_RTCOG_cervical_cancer_guidelines;HPV_screening_program;cisplatin_concurrent_with_RT_standard;NHSO_covers_HPV_vaccine
C56,ovarian_cancer,chemotherapy(carboplatin_plus_paclitaxel);targeted_therapy(bevacizumab_or_PARP_inhibitors);analgesics;antiemetics;colony_stimulating_factors;ascites_management(diuretics),nephrotoxic_agents;live_vaccines_during_chemo;CYP3A4_interacting_drugs_with_PARP_inhibitors,8,Thai_gynecologic_oncology_guidelines;debulking_surgery_primary;CA125_monitoring;BRCA_testing_recommended
C61,prostate_cancer,hormonal_therapy(LHRH_agonists_leuprolide_or_goserelin;antiandrogens_bicalutamide);chemotherapy(docetaxel_if_castrate_resistant);analgesics;bisphosphonates(bone_mets);corticosteroids,testosterone_supplementation;5_alpha_reductase_inhibitors_in_advanced,7,Thai_urology_guidelines;PSA_monitoring;ADT_standard_for_advanced;bone_density_monitoring_on_ADT
C73,thyroid_cancer,levothyroxine(TSH_suppression);radioactive_iodine(post_surgical);calcium_and_vitamin_D(post_thyroidectomy);analgesics,excessive_levothyroxine(cardiac_risk);iodine_containing_contrast(before_RAI),5,Thai_endocrine_surgery_guidelines;thyroglobulin_monitoring;TSH_suppression_target_by_risk;total_thyroidectomy_standard
D25,uterine_fibroids,GnRH_agonists(leuprolide);tranexamic_acid;NSAIDs(for_pain);iron_supplementation;oral_contraceptives;progestins(norethisterone),GnRH_agonists_beyond_6_months(bone_loss);anticoagulants(increase_bleeding),6,Thai_RTCOG_guidelines;surgical_options(myomectomy_hysterectomy);medical_management_first;monitor_hemoglobin
D50,iron_deficiency_anemia,oral_iron(ferrous_sulfate_or_fumarate);parenteral_iron(iron_sucrose_or_ferric_carboxymaltose);vitamin_C(enhance_absorption);folic_acid;dietary_counseling,blood_transfusion(unless_severe_symptomatic);antacids_with_iron(reduce_absorption),4,Thai_hematology_guidelines;identify_underlying_cause;hookworm_screening_in_rural_Thailand;ferritin_monitoring
D56,thalassemia,folic_acid;iron_chelation(deferasirox_or_deferoxamine_if_iron_overloaded);blood_transfusion(regular_if_major);vitamin_E;hepatitis_B_vaccine,iron_supplementation(unless_proven_deficiency);excessive_transfusion_without_chelation,6,Thai_thalassemia_foundation_guidelines;prevalent_in_Thailand;Hb_typing_screening;splenectomy_if_indicated;hydroxyurea_for_HbE_beta_thal
D57,sickle_cell_disease,hydroxyurea;folic_acid;analgesics(paracetamol_NSAIDs_opioids_for_crisis);blood_transfusion(exchange_if_severe);penicillin_prophylaxis(pediatric);pneumococcal_vaccine,iron_supplementation(unless_proven_deficiency);dehydration_trigger,7,Thai_hematology_guidelines;rare_in_Thailand;crisis_management;hydroxyurea_reduces_crisis_frequency
D64,other_anemias,iron_supplementation(if_iron_deficient);vitamin_B12(if_deficient);folic_acid;erythropoietin(if_CKD_related);blood_transfusion(if_severe_symptomatic),iron_overload_without_deficiency;excessive_B12_without_deficiency,5,Thai_hematology_guidelines;identify_underlying_etiology;reticulocyte_count_monitoring
D69,thrombocytopenia,corticosteroids(prednisolone);IVIG(if_severe_or_refractory);thrombopoietin_agonists(eltrombopag_or_romiplostim);platelet_transfusion(if_active_bleeding);rituximab(refractory_ITP),aspirin;NSAIDs;anticoagulants(unless_essential);IM_injections,6,Thai_hematology_guidelines;identify_cause(ITP_vs_secondary);H_pylori_testing;splenectomy_if_refractory
E03,hypothyroidism,levothyroxine;calcium_and_vitamin_D(if_post_surgical);monitoring_TSH_and_fT4,excessive_levothyroxine(cardiac_and_bone_risk);iron_or_calcium_within_4h_of_levothyroxine(reduce_absorption),3,Thai_endocrine_society_guidelines;TSH_target_0.5_to_4.5;gradual_dose_titration;start_low_in_elderly_and_cardiac
E05,hyperthyroidism,antithyroid_drugs(methimazole_or_propylthiouracil);beta_blockers(propranolol);radioactive_iodine;corticosteroids(thyroid_storm);lugols_iodine(pre_surgical),excessive_antithyroid(agranulocytosis_risk);amiodarone(thyroid_dysfunction),5,Thai_endocrine_society_guidelines;CBC_monitoring_for_agranulocytosis;PTU_only_in_first_trimester;Graves_disease_commonest_cause
E16,hypoglycemia,oral_glucose;IV_dextrose(50_percent);glucagon_injection;dietary_modification;medication_dose_adjustment,excessive_insulin;sulfonylurea_overdose,3,Thai_DM_guidelines;identify_underlying_cause;rule_out_insulinoma;medication_review_critical
E21,hyperparathyroidism,surgical_management(parathyroidectomy);cinacalcet(if_not_surgical_candidate);bisphosphonates(if_osteoporosis);hydration;calcium_and_vitamin_D(post_surgical),thiazide_diuretics(increase_calcium);lithium(worsen_hypercalcemia);calcium_supplementation(pre_surgical),5,Thai_endocrine_surgery_guidelines;serum_calcium_and_PTH_monitoring;bone_density_assessment
E22,hyperpituitarism,dopamine_agonists(cabergoline_or_bromocriptine_for_prolactinoma);somatostatin_analogues(octreotide_for_acromegaly);surgery(transsphenoidal);radiation_therapy,ergot_derivatives_high_dose(cardiac_valvulopathy);estrogen(may_increase_prolactin),5,Thai_endocrine_society_guidelines;MRI_pituitary;visual_field_testing;prolactin_and_IGF1_monitoring
E27,adrenal_disorders,glucocorticoids(hydrocortisone_or_prednisolone);mineralocorticoids(fludrocortisone_for_Addisons);stress_dose_steroids(illness);ketoconazole_or_metyrapone(Cushings),abrupt_steroid_withdrawal(adrenal_crisis);NSAIDs_with_steroids(GI_risk);live_vaccines_on_immunosuppression,5,Thai_endocrine_society_guidelines;sick_day_rules_education;medic_alert_bracelet;cortisol_testing
E66,obesity,lifestyle_modification;orlistat;GLP1_agonists(liraglutide_or_semaglutide);metformin(if_prediabetic);bariatric_surgery(if_BMI_over_37.5_Asian_criteria),amphetamines;thyroid_hormones(for_weight_loss);laxative_abuse,4,Thai_obesity_guidelines_with_Asian_BMI_cutoffs;BMI_over_25_overweight_Asian;lifestyle_first_line;comorbidity_screening
E86,dehydration,oral_rehydration_salts;IV_crystalloids(NSS_or_Ringers_Lactate);electrolyte_replacement;antiemetics(if_vomiting),excessive_IV_fluids_without_monitoring;hypotonic_fluids(hyponatremia_risk),4,Thai_MOPH_guidelines;assess_severity;monitor_urine_output;identify_underlying_cause
E87,electrolyte_disorders,IV_fluids(type_guided_by_specific_disorder);potassium_replacement(oral_or_IV);sodium_replacement(hypertonic_saline_if_severe);calcium_gluconate;magnesium_sulfate,rapid_sodium_correction(osmotic_demyelination);rapid_potassium_IV(cardiac_arrest_risk),6,Thai_nephrology_and_internal_medicine_guidelines;frequent_electrolyte_monitoring;ECG_monitoring_for_K_and_Ca;correct_underlying_cause
F10,alcohol_use_disorders,thiamine(before_glucose);benzodiazepines(chlordiazepoxide_or_diazepam_for_withdrawal);folic_acid;multivitamins;naltrexone_or_acamprosate(relapse_prevention);disulfiram,alcohol_while_on_disulfiram;hepatotoxic_drugs;opioids(respiratory_depression),7,Thai_psychiatric_guidelines;CIWA_Ar_scoring_for_withdrawal;Wernicke_prevention_with_thiamine;liver_function_monitoring
F20,schizophrenia,antipsychotics(risperidone_or_olanzapine_or_haloperidol);atypical_antipsychotics(clozapine_for_refractory);anticholinergics(trihexyphenidyl_for_EPS);benzodiazepines(acute_agitation);depot_antipsychotics(for_non_compliance),clozapine_without_CBC_monitoring(agranulocytosis);polypharmacy_antipsychotics;QTc_prolonging_combinations,6,Thai_psychiatric_association_guidelines;NHSO_covers_essential_antipsychotics;metabolic_monitoring;clozapine_registry
F31,bipolar_disorder,mood_stabilizers(lithium_or_valproate);atypical_antipsychotics(quetiapine_or_olanzapine);lamotrigine(bipolar_depression);benzodiazepines(acute_phase);carbamazepine,antidepressant_monotherapy(mania_risk);lithium_without_level_monitoring;valproate_in_women_of_childbearing_age,6,Thai_psychiatric_guidelines;lithium_level_0.6_to_1.0;renal_and_thyroid_monitoring_with_lithium;pregnancy_counseling_critical
F32,depressive_episode,SSRIs(fluoxetine_or_sertraline_or_escitalopram);SNRIs(venlafaxine_or_duloxetine);mirtazapine;benzodiazepines(short_term);psychotherapy,MAOIs_with_SSRIs(serotonin_syndrome);tricyclics_in_overdose_risk;abrupt_SSRI_discontinuation,4,Thai_psychiatric_guidelines;SSRIs_first_line;6_month_minimum_treatment;suicide_risk_assessment;NHSO_covers_fluoxetine
F33,recurrent_depressive_disorder,SSRIs(fluoxetine_or_sertraline_or_escitalopram);SNRIs(venlafaxine);lithium_augmentation;atypical_antipsychotics(aripiprazole_augmentation);psychotherapy,MAOIs_with_SSRIs;tricyclics_in_overdose_risk;abrupt_discontinuation,5,Thai_psychiatric_guidelines;long_term_maintenance_recommended;lithium_augmentation_for_refractory;relapse_prevention
F40,phobic_anxiety_disorders,SSRIs(sertraline_or_paroxetine);benzodiazepines(short_term);CBT;beta_blockers(propranolol_for_performance_anxiety),long_term_benzodiazepines;alcohol_self_medication,3,Thai_psychiatric_guidelines;CBT_first_line;exposure_therapy;SSRIs_for_social_phobia
F41,anxiety_disorders,SSRIs(escitalopram_or_sertraline);SNRIs(venlafaxine);buspirone;benzodiazepines(short_term_lorazepam_or_alprazolam);pregabalin;CBT,long_term_benzodiazepines(dependence);tricyclics_in_elderly,5,Thai_psychiatric_guidelines;SSRIs_first_line;benzodiazepines_max_4_weeks;CBT_recommended
