icd_code,diagnosis_group,expected_diagnostics,conditional_diagnostics,unnecessary_diagnostics,max_diagnostic_count,clinical_pathway_source,notes
E10,type_1_diabetes,fasting_blood_glucose;hba1c;renal_function;electrolytes;urinalysis;lipid_profile,c_peptide(if_type_uncertain);gad_antibodies(if_type_uncertain);blood_gas(if_DKA_suspected);blood_ketones(if_DKA_suspected);thyroid_function(if_autoimmune_screening),colonoscopy;tumor_markers;chest_xray(if_no_respiratory_symptoms);mri_brain,10,general,Annual screening for complications; HbA1c every 3 months
E11,type_2_diabetes,fasting_blood_glucose;hba1c;renal_function;lipid_profile;urinalysis;liver_function_test,urine_albumin_creatinine_ratio(if_annual_screening);ecg(if_cardiovascular_risk);fundoscopy(if_annual_eye_screening);foot_exam(if_neuropathy_screening),colonoscopy;tumor_markers;mri_brain;cardiac_enzymes(if_no_chest_pain),8,general,Thai DM CPG; annual complication screening
E11.6,type_2_diabetes_with_complications,fasting_blood_glucose;hba1c;renal_function;lipid_profile;urinalysis;urine_albumin_creatinine_ratio;liver_function_test;ecg,fundoscopy(if_retinopathy_assessment);nerve_conduction_study(if_neuropathy);doppler_ultrasound(if_peripheral_vascular_disease);echocardiogram(if_heart_failure_suspected);hba1c_repeat(if_medication_adjustment),colonoscopy;tumor_markers;mri_brain(if_no_neurological_deficit),12,general,Complication-directed workup; intensify screening intervals
E78,dyslipidemia,fasting_lipid_profile;liver_function_test;fasting_blood_glucose;thyroid_function;renal_function,creatine_kinase(if_statin_therapy);hba1c(if_diabetes_risk);coronary_calcium_score(if_intermediate_risk);carotid_intima_media_thickness(if_risk_stratification),colonoscopy;tumor_markers;mri_brain;chest_xray(if_no_respiratory_symptoms),6,general,Fasting lipid panel; rule out secondary causes
I10,essential_hypertension,ecg;renal_function;electrolytes;fasting_blood_glucose;lipid_profile;urinalysis,echocardiogram(if_LVH_suspected);renal_ultrasound(if_renal_cause_suspected);urine_albumin_creatinine_ratio(if_renal_assessment);fundoscopy(if_severe_hypertension);aldosterone_renin_ratio(if_resistant_hypertension),mri_brain(if_no_neurological_symptoms);colonoscopy;tumor_markers;thyroid_function(if_no_thyroid_symptoms),8,general,Thai hypertension CPG; target organ damage assessment
I11,hypertensive_heart_disease,ecg;echocardiogram;chest_xray;renal_function;electrolytes;bnp_or_nt_probnp,coronary_angiography(if_ischemia_suspected);holter_monitor(if_arrhythmia);cardiac_mri(if_cardiomyopathy_assessment);sleep_study(if_OSA_suspected),colonoscopy;tumor_markers;thyroid_function(if_no_thyroid_symptoms);mri_brain(if_no_neurological_symptoms),10,general,Assess cardiac structure and function; rule out coronary disease
I20,angina_pectoris,ecg;troponin;cbc;renal_function;lipid_profile;chest_xray,exercise_stress_test(if_stable_angina);coronary_ct_angiography(if_intermediate_risk);echocardiogram(if_heart_failure_suspected);coronary_angiography(if_high_risk_or_unstable);d_dimer(if_PE_differential),colonoscopy;tumor_markers;thyroid_function;mri_brain;abdominal_ultrasound(if_no_abdominal_symptoms),10,general,Risk stratify and rule out ACS; serial troponin if unstable
I21,acute_myocardial_infarction,ecg;troponin_serial;cbc;renal_function;electrolytes;coagulation_panel;chest_xray;lipid_profile;blood_glucose,echocardiogram(if_assess_wall_motion);coronary_angiography(if_STEMI_or_high_risk_NSTEMI);blood_gas(if_respiratory_distress);bnp_or_nt_probnp(if_heart_failure);thyroid_function(if_tachycardia_unexplained),colonoscopy;tumor_markers;mri_brain(if_no_neurological_deficit);abdominal_ultrasound(if_no_abdominal_symptoms),12,general,STEMI pathway: door-to-balloon <90min; serial troponin q3-6h
I25,chronic_ischemic_heart_disease,ecg;lipid_profile;fasting_blood_glucose;hba1c;renal_function;chest_xray,exercise_stress_test(if_functional_assessment);echocardiogram(if_LV_function);coronary_ct_angiography(if_symptom_progression);holter_monitor(if_arrhythmia_suspected),colonoscopy;tumor_markers;mri_brain;thyroid_function(if_no_thyroid_symptoms),8,general,Secondary prevention workup; periodic reassessment
I48,atrial_fibrillation,ecg;echocardiogram;thyroid_function;cbc;renal_function;coagulation_panel,holter_monitor(if_paroxysmal);transesophageal_echo(if_cardioversion_planned);liver_function_test(if_anticoagulant_planned);cha2ds2vasc_score(if_stroke_risk),colonoscopy;tumor_markers;mri_brain(if_no_stroke_symptoms);abdominal_ultrasound(if_no_abdominal_symptoms),8,general,Assess stroke risk and rate vs rhythm control strategy
I50,heart_failure,echocardiogram;chest_xray;ecg;bnp_or_nt_probnp;cbc;renal_function;electrolytes;liver_function_test,coronary_angiography(if_ischemic_etiology);thyroid_function(if_new_onset);iron_studies(if_anemia);cardiac_mri(if_cardiomyopathy_characterization);holter_monitor(if_arrhythmia),colonoscopy;tumor_markers;mri_brain(if_no_neurological_symptoms),10,general,NYHA classification; assess ejection fraction and etiology
I63,cerebral_infarction,ct_brain_non_contrast;cbc;coagulation_panel;renal_function;electrolytes;blood_glucose;ecg;lipid_profile,ct_angiography(if_large_vessel_occlusion);mri_brain(if_posterior_circulation_or_small_infarct);echocardiogram(if_cardioembolic_source);carotid_doppler(if_carotid_stenosis);holter_monitor(if_AF_suspected),colonoscopy;tumor_markers;thyroid_function(if_no_thyroid_symptoms);abdominal_ultrasound(if_no_abdominal_symptoms),12,general,Stroke pathway: door-to-CT <25min; thrombolysis window <4.5h
J06,acute_upper_respiratory_infection,none,cbc(if_bacterial_suspected);chest_xray(if_lower_respiratory_involvement);rapid_strep_test(if_pharyngitis);monospot(if_EBV_suspected),ct_chest;mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;blood_culture,3,general,Usually clinical diagnosis; limit unnecessary investigations
J18,pneumonia_unspecified,cbc;chest_xray;crp;blood_culture;spo2,procalcitonin(if_severity_assessment);blood_gas(if_respiratory_distress);sputum_culture(if_productive_cough);ct_chest(if_complications_suspected);legionella_urinary_antigen(if_atypical_suspected);pneumococcal_urinary_antigen(if_severe),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes(if_no_cardiac_symptoms),10,general,CURB-65 or PSI scoring; reassess if no improvement at 48-72h
J44,COPD,chest_xray;spirometry;cbc;spo2;blood_gas,ct_chest(if_structural_assessment);sputum_culture(if_infective_exacerbation);echocardiogram(if_cor_pulmonale_suspected);alpha1_antitrypsin(if_young_onset);bnp_or_nt_probnp(if_heart_failure_differential),mri_brain;colonoscopy;tumor_markers;thyroid_function;cardiac_enzymes(if_no_chest_pain),8,general,GOLD classification; assess exacerbation severity
J45,asthma,spirometry;peak_flow;cbc;chest_xray,skin_prick_test(if_allergic_assessment);specific_IgE(if_allergen_identification);exhaled_nitric_oxide(if_eosinophilic_inflammation);ct_chest(if_differential_diagnosis);methacholine_challenge(if_diagnostic_uncertainty),mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;thyroid_function,6,general,GINA stepwise assessment; reversibility testing
J96,respiratory_failure,blood_gas;chest_xray;cbc;renal_function;electrolytes;spo2;ecg,ct_chest(if_PE_or_parenchymal_disease);echocardiogram(if_cardiac_cause);procalcitonin(if_sepsis);d_dimer(if_PE_suspected);sputum_culture(if_infection);lactate(if_tissue_hypoperfusion),colonoscopy;tumor_markers;thyroid_function;mri_brain(if_no_neurological_symptoms),12,general,Determine type I vs type II; identify and treat underlying cause
K21,gastroesophageal_reflux,none,upper_gi_endoscopy(if_alarm_symptoms_or_refractory);h_pylori_test(if_dyspepsia);esophageal_ph_monitoring(if_diagnostic_uncertainty);barium_swallow(if_dysphagia),ct_abdomen;colonoscopy;cardiac_enzymes;mri_brain;tumor_markers,4,general,Clinical diagnosis initially; endoscopy if alarm features or treatment failure
K25,gastric_ulcer,upper_gi_endoscopy;h_pylori_test;cbc,biopsy(if_malignancy_suspected);liver_function_test(if_NSAID_use);coagulation_panel(if_bleeding);ct_abdomen(if_perforation_suspected);fasting_gastrin(if_refractory_ulcer),mri_brain;colonoscopy;thyroid_function;cardiac_enzymes;tumor_markers(if_biopsy_benign),8,general,Endoscopy with biopsy to rule out malignancy; H. pylori eradication
K35,acute_appendicitis,cbc;crp;urinalysis;abdominal_ultrasound,ct_abdomen(if_diagnostic_uncertainty);blood_culture(if_sepsis);coagulation_panel(if_pre_operative);chest_xray(if_pre_operative);pregnancy_test(if_female_reproductive_age),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes,8,general,Alvarado score; ultrasound first in children and pregnant women
K80,cholelithiasis,abdominal_ultrasound;cbc;liver_function_test;lipase_amylase,mrcp(if_CBD_stones_suspected);ct_abdomen(if_complications);blood_culture(if_cholangitis);coagulation_panel(if_pre_operative);chest_xray(if_pre_operative),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes,8,general,Ultrasound is primary imaging; MRCP for bile duct evaluation
L03,cellulitis,cbc;blood_glucose;crp,blood_culture(if_sepsis_or_immunocompromised);wound_culture(if_abscess_or_drainage);creatine_kinase(if_necrotizing_fasciitis_suspected);ultrasound(if_abscess_suspected);mri(if_deep_tissue_involvement),ct_abdomen;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes,6,general,Clinical diagnosis; mark borders to monitor progression
M54,dorsalgia_back_pain,none,lumbosacral_xray(if_trauma_or_red_flags);mri_spine(if_neurological_deficit_or_persistent);esr(if_infection_or_malignancy_suspected);cbc(if_systemic_disease);urinalysis(if_renal_cause_suspected),ct_abdomen;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes;echocardiogram,4,general,Red flag screening; imaging only if alarm features present
N18,chronic_kidney_disease,renal_function;electrolytes;cbc;urinalysis;urine_albumin_creatinine_ratio;calcium_phosphate;pth,renal_ultrasound(if_structural_assessment);lipid_profile(if_cardiovascular_risk);hba1c(if_diabetic_nephropathy);iron_studies(if_anemia);hepatitis_b_c_screening(if_dialysis_planned),colonoscopy(if_no_GI_symptoms);thyroid_function(if_no_thyroid_symptoms);mri_brain;tumor_markers,10,general,KDIGO staging by eGFR and albuminuria; monitor progression
N39.0,urinary_tract_infection,urinalysis;urine_culture;cbc,renal_function(if_complicated_UTI);blood_culture(if_pyelonephritis);renal_ultrasound(if_recurrent_or_complicated);ct_abdomen(if_obstruction_suspected);pregnancy_test(if_female_reproductive_age),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes;echocardiogram,6,general,Urine culture before antibiotics; assess for complicated vs uncomplicated
O80,single_spontaneous_delivery,cbc;blood_type_crossmatch;urinalysis;hbsag;hiv_test;vdrl,coagulation_panel(if_bleeding);blood_glucose(if_GDM_screening);liver_function_test(if_preeclampsia_suspected);neonatal_bilirubin(if_jaundice),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes,8,general,Standard peripartum workup; Thai ANC package
O82,delivery_by_cesarean,cbc;blood_type_crossmatch;coagulation_panel;renal_function;urinalysis;chest_xray;ecg,liver_function_test(if_preeclampsia);blood_gas(if_spinal_anesthesia_complications);blood_glucose(if_GDM);wound_culture(if_surgical_site_infection),mri_brain;colonoscopy;thyroid_function;tumor_markers,10,general,Pre-operative and peripartum labs; anesthesia clearance
O03,spontaneous_abortion,cbc;blood_type_crossmatch;beta_hcg;pelvic_ultrasound,coagulation_panel(if_heavy_bleeding);renal_function(if_hemodynamically_unstable);blood_culture(if_septic_abortion);karyotype(if_recurrent_loss),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes,7,general,Serial beta-hCG if diagnosis uncertain; Rh status for anti-D prophylaxis
R50,fever_of_unknown_origin,cbc;blood_culture;urinalysis;urine_culture;chest_xray;crp;esr,malaria_smear(if_endemic_exposure);dengue_NS1(if_dengue_season);liver_function_test(if_hepatic_symptoms);hiv_test(if_risk_factors);ct_chest_abdomen(if_no_source_found);procalcitonin(if_sepsis_workup),colonoscopy;tumor_markers(if_no_malignancy_suspicion);thyroid_function(if_no_thyroid_symptoms);mri_brain(if_no_neurological_symptoms),10,general,Systematic approach; consider tropical infections in Thai setting
S72,fracture_of_femur,hip_xray;cbc;coagulation_panel;renal_function;ecg;chest_xray;blood_type_crossmatch,ct_hip(if_occult_fracture);echocardiogram(if_cardiac_clearance);blood_glucose(if_diabetic);liver_function_test(if_pre_operative);bone_density(if_osteoporosis_assessment),mri_brain;colonoscopy;thyroid_function;tumor_markers;abdominal_ultrasound(if_no_abdominal_symptoms),10,general,Pre-operative workup; assess surgical fitness and fracture classification
T78.4,allergy_unspecified,cbc;tryptase,specific_IgE(if_allergen_identification);skin_prick_test(if_stable_and_outpatient);chest_xray(if_respiratory_symptoms);blood_gas(if_anaphylaxis_with_respiratory_distress);ecg(if_cardiovascular_symptoms),ct_abdomen;colonoscopy;thyroid_function;tumor_markers;mri_brain;coronary_angiography,5,general,Acute management first; allergy workup after stabilization
A02,nontyphoidal_salmonellosis,cbc;blood_culture;stool_culture;electrolytes,renal_function(if_dehydrated);liver_function_test(if_hepatic_involvement);abdominal_xray(if_obstruction_suspected);crp(if_severity_assessment),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes,6,general,Stool culture definitive; blood culture if bacteremia suspected; hydration key
A37,pertussis,cbc_with_differential;nasopharyngeal_swab_PCR;chest_xray,pertussis_culture(if_early_catarrhal_phase);pertussis_serology(if_late_presentation);blood_gas(if_respiratory_distress_infant);spo2(if_paroxysms_severe),ct_chest;mri_brain;colonoscopy;tumor_markers;cardiac_enzymes,6,general,Marked lymphocytosis suggestive; PCR most sensitive; notify public health
A41,sepsis,cbc;blood_culture_x2;lactate;crp;procalcitonin;renal_function;electrolytes;liver_function_test;coagulation_panel;blood_gas;chest_xray,urine_culture(if_urinary_source);sputum_culture(if_respiratory_source);wound_culture(if_skin_source);ct_abdomen(if_intraabdominal_source);lumbar_puncture(if_meningitis_suspected);echocardiogram(if_endocarditis_suspected),colonoscopy;thyroid_function;tumor_markers;mri_brain(if_no_neurological_symptoms);bone_density,14,general,Surviving Sepsis Campaign; blood cultures before antibiotics; lactate-guided resuscitation
A46,erysipelas,cbc;crp;blood_glucose,blood_culture(if_sepsis_suspected);wound_swab(if_open_lesion);renal_function(if_systemic_illness);aso_titer(if_recurrent);duplex_ultrasound(if_DVT_differential),ct_abdomen;colonoscopy;thyroid_function;tumor_markers;mri_brain;cardiac_enzymes,5,general,Clinical diagnosis by raised well-demarcated erythema; usually Group A Strep
B00,herpes_simplex,none,viral_culture(if_diagnostic_uncertainty);HSV_PCR(if_encephalitis_or_neonatal);tzanck_smear(if_rapid_bedside);cbc(if_systemic_illness);liver_function_test(if_disseminated);lumbar_puncture(if_encephalitis_suspected),ct_abdomen;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes;chest_xray,4,general,Usually clinical diagnosis; PCR for CNS or neonatal HSV; acyclovir empirically
B01,varicella,cbc,liver_function_test(if_hepatic_complications);chest_xray(if_pneumonia_suspected);VZV_PCR(if_diagnostic_uncertainty);coagulation_panel(if_hemorrhagic_varicella);pregnancy_test(if_female_reproductive_age),ct_abdomen;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes;mri_brain,4,general,Clinical diagnosis; complications more common in adults and immunocompromised
B02,herpes_zoster,none,VZV_PCR(if_diagnostic_uncertainty);cbc(if_systemic_illness);hiv_test(if_young_or_recurrent);mri_brain(if_ramsay_hunt_or_CNS_involvement);ophthalmologic_exam(if_ophthalmic_distribution),ct_abdomen;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes;blood_culture,4,general,Clinical diagnosis by dermatomal vesicles; screen for immunodeficiency if atypical
B05,measles,cbc;measles_IgM_serology,measles_PCR(if_early_presentation);liver_function_test(if_hepatitis_suspected);chest_xray(if_pneumonia_suspected);lumbar_puncture(if_encephalitis_suspected);vitamin_A_level(if_deficiency_suspected),ct_abdomen;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes;mri_brain(if_no_neurological_symptoms),5,general,Notify public health immediately; measles IgM positive from day 3 of rash
B15,hepatitis_A,liver_function_test;anti_HAV_IgM;cbc;coagulation_panel;bilirubin,renal_function(if_severe);abdominal_ultrasound(if_hepatomegaly_or_cholestasis);blood_glucose(if_fulminant_suspected);anti_HAV_IgG(if_immunity_check),mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;chest_xray;thyroid_function,7,general,Self-limiting; monitor for fulminant hepatic failure; supportive care
B16,hepatitis_B_acute,liver_function_test;hbsag;anti_hbc_IgM;hbeag;cbc;coagulation_panel;bilirubin,hbv_dna(if_chronic_assessment);renal_function(if_severe);abdominal_ultrasound(if_hepatomegaly);alpha_fetoprotein(if_chronic_or_cirrhosis);anti_HDV(if_coinfection_suspected),mri_brain;colonoscopy;cardiac_enzymes;chest_xray;thyroid_function,8,general,Differentiate acute vs chronic; monitor for chronicity; fulminant rare but serious
B18,chronic_viral_hepatitis,liver_function_test;hbsag;anti_hcv;cbc;coagulation_panel;albumin,hbv_dna(if_hbsag_positive);hcv_rna(if_anti_hcv_positive);fibroscan_or_APRI(if_fibrosis_staging);abdominal_ultrasound(if_cirrhosis_screening);alpha_fetoprotein(if_HCC_surveillance);hbeag_anti_hbe(if_hbv),mri_brain;colonoscopy(if_no_GI_symptoms);cardiac_enzymes;chest_xray(if_no_respiratory_symptoms),10,general,Regular HCC surveillance with US and AFP q6 months; fibrosis staging guides treatment
B37,candidiasis,cbc;blood_glucose,blood_culture(if_systemic_suspected);fungal_culture(if_mucocutaneous_refractory);hiv_test(if_oropharyngeal_or_recurrent);renal_function(if_systemic_antifungal);liver_function_test(if_systemic_antifungal);cd4_count(if_HIV_positive),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes;chest_xray,5,general,Often clinical diagnosis; systemic candidiasis requires blood cultures; assess for immunodeficiency
C18,malignant_neoplasm_of_colon,colonoscopy_with_biopsy;cbc;liver_function_test;cea;ct_chest_abdomen_pelvis;renal_function,pet_ct(if_staging_uncertain);mri_liver(if_hepatic_metastases);genetic_testing_MSI_MMR(if_Lynch_suspected);carbohydrate_antigen_19_9(if_monitoring),mri_brain(if_no_neurological_symptoms);thyroid_function;echocardiogram(if_no_cardiac_symptoms);spirometry,10,general,Staging with CT CAP; CEA for baseline and monitoring; discuss in MDT
C20,malignant_neoplasm_of_rectum,colonoscopy_with_biopsy;mri_pelvis;ct_chest_abdomen_pelvis;cbc;liver_function_test;cea;renal_function,pet_ct(if_staging_uncertain);endorectal_ultrasound(if_local_staging);genetic_testing_MSI_MMR(if_Lynch_suspected),mri_brain(if_no_neurological_symptoms);thyroid_function;echocardiogram(if_no_cardiac_symptoms);spirometry,10,general,MRI pelvis critical for local staging; neoadjuvant CRT for locally advanced
C34,malignant_neoplasm_of_lung,ct_chest_with_contrast;cbc;liver_function_test;renal_function;chest_xray;sputum_cytology;biopsy,pet_ct(if_staging);mri_brain(if_metastasis_screening);pulmonary_function_test(if_surgery_planned);molecular_testing_EGFR_ALK_PDL1(if_NSCLC);bone_scan(if_bone_pain);bronchoscopy(if_central_lesion),colonoscopy;thyroid_function;abdominal_ultrasound,12,general,Tissue diagnosis mandatory; molecular profiling guides targeted therapy in NSCLC
C50,malignant_neoplasm_of_breast,mammography;breast_ultrasound;core_biopsy;cbc;liver_function_test;renal_function;chest_xray,mri_breast(if_extent_assessment);ct_chest_abdomen(if_staging);bone_scan(if_bone_pain);pet_ct(if_staging_uncertain);ER_PR_HER2_status(if_biopsy_confirmed);genetic_testing_BRCA(if_family_history),mri_brain(if_no_neurological_symptoms);colonoscopy;thyroid_function;spirometry,10,general,Triple assessment: clinical + imaging + biopsy; receptor status guides treatment
C53,malignant_neoplasm_of_cervix,pap_smear;colposcopy_with_biopsy;cbc;liver_function_test;renal_function;chest_xray;mri_pelvis,ct_chest_abdomen_pelvis(if_staging);pet_ct(if_advanced_staging);cystoscopy(if_bladder_involvement);proctoscopy(if_rectal_involvement);hiv_test(if_unknown_status),mri_brain(if_no_neurological_symptoms);colonoscopy(if_no_rectal_symptoms);thyroid_function;cardiac_enzymes,10,general,FIGO staging; MRI pelvis for local staging; concurrent CRT for locally advanced
C56,malignant_neoplasm_of_ovary,pelvic_ultrasound;ca125;ct_chest_abdomen_pelvis;cbc;liver_function_test;renal_function,pet_ct(if_staging_uncertain);paracentesis(if_ascites);he4(if_differential_diagnosis);germ_cell_markers_AFP_bHCG_LDH(if_young_patient);genetic_testing_BRCA(if_high_grade_serous),mri_brain(if_no_neurological_symptoms);thyroid_function;cardiac_enzymes;bone_scan(if_no_bone_symptoms),10,general,CA-125 and imaging for initial assessment; surgical staging/debulking; BRCA testing recommended
C61,malignant_neoplasm_of_prostate,psa;digital_rectal_exam;prostate_biopsy;cbc;renal_function;liver_function_test,mri_prostate(if_pre_biopsy_assessment);bone_scan(if_PSA_above_20_or_Gleason_8_plus);ct_chest_abdomen_pelvis(if_staging);pet_ct_PSMA(if_recurrence);alkaline_phosphatase(if_bone_metastasis_screening),mri_brain(if_no_neurological_symptoms);colonoscopy;thyroid_function;chest_xray(if_no_staging),10,general,Gleason scoring guides management; active surveillance vs treatment decision
C73,malignant_neoplasm_of_thyroid,thyroid_ultrasound;fine_needle_aspiration;thyroid_function;cbc;calcium,ct_neck_chest(if_staging_advanced);thyroglobulin(if_post_surgical_monitoring);radioactive_iodine_scan(if_differentiated_thyroid_cancer);calcitonin(if_medullary_thyroid_suspected);genetic_testing_RET(if_MEN_suspected),mri_brain(if_no_neurological_symptoms);colonoscopy;cardiac_enzymes;abdominal_ultrasound,8,general,FNA with Bethesda classification; differentiated thyroid cancer has excellent prognosis
D25,leiomyoma_of_uterus,pelvic_ultrasound;cbc;iron_studies,mri_pelvis(if_surgical_planning);endometrial_biopsy(if_abnormal_bleeding);renal_function(if_pre_operative);coagulation_panel(if_heavy_bleeding);pregnancy_test(if_reproductive_age),ct_abdomen;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes;chest_xray,6,general,Ultrasound first-line imaging; assess for anemia from menorrhagia
D50,iron_deficiency_anemia,cbc;iron_studies;reticulocyte_count;peripheral_blood_smear,stool_occult_blood(if_GI_bleeding_suspected);upper_gi_endoscopy(if_GI_source);colonoscopy(if_GI_source_or_age_above_50);celiac_serology(if_malabsorption);renal_function(if_chronic_disease);h_pylori_test(if_recurrent),mri_brain;tumor_markers;cardiac_enzymes;chest_xray(if_no_respiratory_symptoms);thyroid_function,8,general,Identify and treat underlying cause; GI evaluation important in men and postmenopausal women
D56,thalassemia,cbc;hemoglobin_electrophoresis;iron_studies;peripheral_blood_smear;reticulocyte_count,ferritin(if_transfusion_dependent);liver_function_test(if_iron_overload);echocardiogram(if_cardiac_iron_assessment);mri_liver_T2star(if_iron_quantification);genetic_testing(if_carrier_screening),mri_brain(if_no_neurological_symptoms);colonoscopy;tumor_markers;chest_xray(if_no_respiratory_symptoms),8,general,Common in Thailand; Hb typing for diagnosis; monitor iron overload in transfusion-dependent patients
D57,sickle_cell_disease,cbc;hemoglobin_electrophoresis;reticulocyte_count;peripheral_blood_smear;renal_function;liver_function_test,blood_type_crossmatch(if_transfusion);chest_xray(if_acute_chest_syndrome);transcranial_doppler(if_stroke_screening_pediatric);iron_studies(if_transfusion_dependent);echocardiogram(if_pulmonary_hypertension_suspected),colonoscopy;thyroid_function;tumor_markers;mri_brain(if_no_neurological_symptoms);ct_abdomen(if_no_abdominal_crisis),8,general,Less common in Thailand; crisis management and complication screening
